price,amount
112.05,0.2836
112.04,1.3933
112.01,2.5649
112.00,2.0378
111.99,0.611
111.98,0.4
111.95,2.3928
111.94,0.4
111.93,0.2
111.92,0.3
111.91,1.8152
111.90,0.01
111.89,0.3204
111.88,4.0974
111.87,163.4188
111.85,1.2865
111.84,0.8708
111.83,6.7874
111.82,0.8
111.80,0.9277
111.79,1.907
111.78,0.1
111.77,0.7469
111.74,0.7097
111.72,0.0879
111.68,2.0
111.67,0.0653
111.66,0.15
111.65,0.1186
111.64,3.6211
111.63,0.2272
111.62,1.2855
111.60,0.0222
111.59,1.0
111.58,0.1
111.57,6.8239
111.56,0.0888
111.54,0.2442
111.52,0.5303
111.51,0.0186
111.50,20.0
111.49,0.3
111.48,0.2208
111.47,33.6822
111.46,0.0222
111.45,0.8939
111.44,0.01
111.43,0.066
111.42,0.5
111.41,0.6914
111.40,14.6373
111.39,2.4889
111.38,0.0186
110.00,3.131
108.00,2.483
105.20,30.0
105.00,7.048
101.00,30.0
86.10,0.781
73.00,5.62
7.30,0.2
0.02,68.0
