price,amount
0.00000840,100.0
0.00000845,60.0
0.00000849,20225.37
0.00000850,4818.41
0.00000855,100.0
0.00000860,100.0
0.00000865,100.0
0.00000870,100.0
0.00000875,100.0
0.00000880,100.0
0.00000885,100.0
0.00000890,100.0
0.00000895,100.0
0.00000900,100.0
0.00000905,100.0
0.00000910,100.0
0.00000915,100.0
0.00000920,100.0
0.00000925,100.0
0.00000930,100.0
0.00000935,100.0
0.00000940,100.0
0.00000945,100.0
0.00000950,100.0
0.00000955,100.0
0.00000960,100.0
0.00000965,100.0
0.00000970,100.0
0.00000975,100.0
0.00000980,100.0
0.00000985,100.0
0.00000990,100.0
0.00000997,12202.29
0.00000998,1000.0
0.00000999,33431.47
0.00001000,100000.0
0.00001088,3000.0
0.00001200,1000.0
0.00001288,1549.0
0.00001300,1000.0
0.00001400,2916.86
0.00001600,1025.0
0.00001987,103534.75
0.00001988,7985.0
0.00001990,20396.52
0.00001998,2495.88
0.00002000,52451.75
0.00002500,25010.07
0.00003000,20777.63
0.00004000,28103.81
0.00005000,20832.91
0.00005498,18163.56
0.00005499,53288.9
0.00005500,64241.64
0.00005999,71713.33
0.00006000,8025.95
0.00006100,1000.0
0.00006200,1000.0
0.00006300,1000.0
0.00006400,1000.0
0.00006500,304668.01
0.00006798,16145.38
0.00006999,71713.34
0.00007000,20000.0
0.00007700,500.0
0.00007900,21527.17
0.00007988,100000.0
0.00007999,189071.34
0.00008000,1320.89
0.00008198,77734.91
0.00008200,10000.0
0.00009900,5000.0
0.00010000,112909.13
0.00010280,500.0
0.00011000,46815.39
0.00013500,84916.2
0.00014000,28208.94
0.00014999,65625.88
0.00015000,127181.52
0.00017000,6263.0
0.00030000,1000.0
0.00031000,1000.0
0.00032000,1000.0
0.00033000,1000.0
0.00034000,1000.0
0.00035000,1000.0
0.00036000,1000.0
0.00037000,1000.0
0.00038000,1000.0
0.00039000,1000.0
0.00040000,1000.0
0.00041000,1000.0
0.00042000,1000.0
0.00043000,1000.0
0.00044000,1000.0
0.00045000,1000.0
0.00046000,1000.0
0.00047000,1000.0
0.00048000,1000.0
0.00049000,1000.0
0.00050000,2000.0
0.00054321,17683.63
0.00100000,60.0
0.01009000,50.0
0.10000000,50.0
0.20000000,2079.06
