price,amount
0.00000074,30.0
0.00000077,138.0
0.00000084,129.0
0.00000090,400.0
0.00000100,4324.0
0.00000102,361.0
0.00000122,958.0
0.00000142,610.0
0.00000150,959.0
0.00000151,555.0
0.00000152,560.0
0.00000171,556.0
0.00000172,610.0
0.00000176,306.0
0.00000182,660.0
0.00000230,5551.0
0.00000260,6661.0
0.00000800,220.0
0.00000900,3200.0
0.00000903,5185.2
0.00000949,192270.9
0.00000950,10000.0
0.00000999,31368.8
0.00001000,3000.0
0.00001050,3000.0
0.00001060,3000.0
0.00001100,2939.2
0.00001120,6399.1
0.00001190,10000.0
0.00001300,42878.5
0.00001373,1095.6
0.00001388,500.0
0.00001393,8000.0
0.00001500,2484.0
0.00001850,4051.9
0.00001990,3038.9
0.00002000,38660.0
0.00002400,2279.2
0.00003950,10000.0
0.00010000,2646.5
1.00000000,114.0
1.03000000,115.0
