price,amount
0.00001059,100.0
0.00001040,110.0
0.00001026,69892.0
0.00001025,592.0
0.00001022,458.0
0.00001021,120.0
0.00001020,2541.0
0.00000949,8684.0
0.00000942,2755.0
0.00000941,11784.0
0.00000939,4997.0
0.00000938,119.0
0.00000901,666.0
0.00000900,666.0
0.00000899,20233.0
0.00000897,826.0
0.00000895,18644.0
0.00000893,471.0
0.00000892,348.0
0.00000889,406.0
0.00000879,1911.0
0.00000623,1315.0
0.00000530,668.0
0.00000527,2108.0
0.00000465,998.0
0.00000382,1998.0
0.00000320,1704.0
0.00000210,10841.0
0.00000209,1652.0
0.00000200,1000000.0
0.00000193,2000.0
0.00000188,1500.0
0.00000185,856.0
0.00000178,952.0
0.00000177,888.0
0.00000166,300568.0
0.00000102,860.0
0.00000100,2000000.0
0.00000088,1002840.0
0.00000066,1001704.0
0.00000001,68203.0
