price,amount
0.00006650,32.5149
0.00006651,16.6966
0.00006665,28.875
0.00006666,14.7062
0.00006702,3.4294
0.00006710,15.6
0.00006714,8.4496
0.00006752,2.9946
0.00007026,3.5
0.00007027,51.9634
0.00007068,1.0
0.00007092,2.0
0.00007128,43.9729
0.00007195,134.8713
0.00007393,8.243
0.00007730,131.5478
0.00007745,62.7385
0.00007798,2.0
0.00007831,200.6898
0.00008067,1.0
0.00008112,15.0698
0.00008242,2.196
0.00008277,1.0
0.00008333,437.5061
0.00008336,2.0
0.00008433,1.1128
0.00008605,1.0
0.00008835,35.5
0.00008874,1.0
0.00009143,1.0
0.00009276,2.1982
0.00009611,2.3168
0.00009669,6.6238
0.00009726,1.0
0.00009914,3.7
0.00010285,1.0
0.00010542,15.2267
0.00010621,1.1781
0.00010843,5.988
0.00010951,92.309
0.00011003,200.0
0.00011014,2.3736
0.00011042,65.1168
0.00011144,7.9217
0.00011183,1.0
0.00011224,127.7172
0.00011244,5.988
0.00011294,5.0448
0.00011297,100.0
0.00011331,76.0
0.00011345,27.8331
88.00000000,1.2
