price,amount
0.00006553,8.3424
0.00006516,10.5
0.00006507,10.5
0.00006490,15.6
0.00006489,1.0
0.00006481,1.0
0.00006474,25.0
0.00006446,8.3022
0.00006423,21.0
0.00006422,1.4493
0.00006415,3.9399
0.00006389,5.04
0.00006387,11.363
0.00006386,15.75
0.00006385,66.1466
0.00006384,20.0838
0.00006383,10.0435
0.00006369,27.7884
0.00006356,177.2178
0.00006344,20.3884
0.00006336,498.1344
0.00006297,59.6804
0.00006272,99.3081
0.00006218,101.5
0.00006211,338.2769
0.00006162,2.4973
0.00006075,106.4139
0.00005828,44.5958
0.00005786,31.7778
0.00005702,5.1
0.00005697,4.3552
0.00005671,1.0
0.00005179,2.0
0.00005079,1.0
0.00004990,2.0
0.00004984,10.0
0.00004980,2.0
0.00004252,4.6952
0.00003984,71.0578
0.00003884,10.0
0.00003784,1.0
0.00003187,1.0
0.00002988,45.5104
0.00002788,2.0
0.00002390,2.0
0.00002191,10.0
0.00002091,1.0
0.00001892,2.0
0.00001095,40.0
0.00000825,60.0
0.00000796,2.5212
0.00000766,632.9224
0.00000498,10.0
