price,amount
0.00000349,4077.0
0.00000350,330.0
0.00000681,498.0
0.00000682,588.0
0.00000688,427.0
0.00000694,136.0
0.00000774,500.0
0.00000802,498.0
0.00000804,1443.0
0.00000830,40.0
0.00000874,3895.0
0.00000889,499.0
0.00000920,390.0
0.00001072,38.0
0.00001200,27310.0
0.00001250,330.0
0.00001511,490.0
0.00001512,879.0
0.00001775,865.0
0.00001999,980.0
0.00002286,50.0
0.00002892,58.0
0.00009886,10.0
0.00010258,10.0
0.00012000,80599.0
0.00013060,40.0
0.00013077,50.0
0.00070474,8584.0
0.00500000,5.0
0.05000000,10.0
0.07000000,40.0
0.10000000,10.0
0.20000000,15.0
0.47700000,1.0
