price,amount
0.00010382,330.0
0.00012382,2960.0
0.00015200,330.0
0.00017666,330.0
0.00017689,706.0
0.00019115,498.0
0.00019316,500.0
0.00019318,531.0
0.00019432,399.0
0.00019433,532.0
0.00019566,530.0
0.00020300,500.0
0.00020500,600.0
0.00020800,707.0
0.00021000,600.0
0.00022556,400.0
0.00022912,500.0
0.00022914,1572.0
0.00022915,300.0
0.00029800,1872.0
0.00031800,4514.0
0.00040000,300.0
0.00040157,5305.0
0.00041800,2184.0
0.00042800,1875.0
0.01281000,500.0
