price,amount
0.00000250,318.0
0.00000255,422.0
0.00000258,1218.0
0.00000340,152.0
0.00000353,999.0
0.00000474,747.0
0.00000505,855.0
0.00000941,47.58
0.00000942,317.27
0.00000994,176.53
0.00000995,44.39
0.00001190,2481.0
0.00001350,997.3
0.00001943,796.96
0.00001965,3.53
0.00001977,112.0
0.00001983,231.62
0.00001985,126.58
0.00001988,261.4
0.00002000,165.14
0.00002200,8.99
0.00003490,14.6
0.00003580,281.09
0.00004000,1000.0
0.00006108,300.01
0.00006109,300.0
0.00006110,362.0
0.00006112,142.0
0.00006120,362.0
0.00006130,355.0
0.00006331,555.0
0.00006338,333.0
0.00006342,300.0
0.00006345,362.24
0.00006350,666.0
0.00006353,355.0
0.00006360,263.0
0.00006369,355.0
0.00006899,366.0
0.00006906,333.0
0.00006931,362.0
0.00006956,330.0
0.00007000,522.0
