price,amount
0.00011448,1295.0
0.00011449,1636.0
0.00011452,1500.0
0.00012145,1523.0
0.00012234,8829.0
0.00012453,1523.0
0.00012673,3566.0
0.00012865,3544.0
0.00013097,4545.0
0.00013098,2533.0
0.00013100,5245.0
0.00014250,2544.0
0.00020100,4095.0
0.00021254,25444.0
0.00023500,5259.93
0.00023700,7.93
0.00025000,23.79
0.00029000,2817.79
0.00037000,516.13
0.00051600,54.0
0.00052000,252.98
0.00053400,1865.62
0.00060000,800.0
0.00075000,914.41
0.00077000,600.0
0.00077200,452.0
0.00077500,355.0
0.00077800,552.0
0.00078600,1000.0
0.00079800,400.0
0.00087600,341.28
0.00087900,776.14
0.00089600,400.0
