price,amount
0.00006859,3074.0
0.00006858,2580.0
0.00006747,1477.0
0.00006563,3533.0
0.00006357,10503.0
0.00006356,25333.0
0.00006000,7878.41
0.00005000,8153.12
0.00004500,3761.0
0.00004000,7301.19
0.00003600,3864.0
0.00003000,7244.33
0.00002000,6394.18
0.00001700,3963.0
0.00001500,3854.0
0.00001200,7533.0
0.00001100,38786.0
0.00001000,17641.26
0.00000900,18618.75
0.00000800,29164.25
0.00000700,51596.81
0.00000600,55719.23
0.00000500,54826.61
0.00000400,52413.02
0.00000200,90000.0
0.00000100,76204.0
