price,amount
0.00000010,463927.0
0.00000011,2969.0
0.00000012,37491.0
0.00000013,68748.0
0.00000014,30000.0
0.00000015,44821.0
0.00000016,185276.0
0.00000017,361729.0
0.00000018,96187.0
0.00000019,134800.0
0.00000020,100000.0
0.00000024,51442.0
0.00000025,32951.0
0.00000026,148008.0
0.00000027,43783.0
0.00000028,84300.0
0.00000041,6113.0
0.00000071,1794.0
0.00000073,218.0
0.00000078,19705.0
0.00000080,3678.0
0.00000091,2440.0
0.00000126,2654.0
0.00000139,3678.0
0.00000144,6216.0
0.00000150,794.0
0.00000170,23.0
0.00000172,4521.0
0.00000173,5467.0
0.00000174,7412.0
0.00000180,13986.0
0.00000188,544.0
0.00000189,322677.0
0.00000190,254745.0
0.00000200,11127.0
0.00000308,656.0
0.00000309,574.0
0.00000310,632.0
0.00000311,901.0
0.00000312,390.0
0.00000313,439.0
0.00000318,453.0
0.00000323,175.0
0.00000328,277.0
0.00000329,1249.0
0.00000330,4745.0
0.00000331,658.0
0.00000333,456.0
0.00000335,852.0
0.00000337,577.0
0.00000338,1179.0
0.00000339,1361.0
0.00000341,107.0
0.00000342,10094.0
0.00000343,883.0
0.00000346,2410.0
0.00000347,349.0
0.00000348,178.0
0.00000349,2635.0
0.00000350,12902.0
0.00000353,133.0
0.00000354,9524.0
0.00000355,4687.0
0.00000356,726.0
0.00000357,4988.0
0.00000358,10041.0
0.00000359,1263.0
0.00000360,344.0
0.00000361,523.0
0.00000363,124.0
0.00000365,439.0
0.00000367,46.0
0.00000371,32573.0
0.00000392,781.0
0.00000394,658.0
0.00000396,719.0
0.00000398,21476.0
0.00000400,21.0
0.00000401,271.0
0.00000403,115.0
0.00000405,2958.0
0.00000406,1355.0
0.00000409,831.0
0.00000411,315.0
0.00000412,506.0
0.00000413,146.0
0.00000414,764.0
0.00000415,382.0
0.00000416,338.0
0.00000417,436.0
0.00000418,1147.0
0.00000420,443.0
0.00000422,405.0
0.00000480,44.0
0.00000500,209.0
0.00000888,85928.0
0.00003210,100.0
