price,amount
0.00000320,277446.0
0.00000410,1447500.0
0.00000513,63525.0
0.00000518,1423.0
0.00000559,30000.0
0.00000600,13620.0
0.00000602,97659.0
0.00000790,56343.0
0.00000900,8932.0
0.00000994,3000.0
0.00001257,14447.0
0.00001650,19811.0
0.00001668,20000.0
0.00001669,20000.0
0.00001671,20000.0
0.00001690,19156.0
0.00001702,20000.0
0.00001720,20000.0
0.00001725,20000.0
0.00001738,20000.0
0.00001747,20000.0
0.00001753,20000.0
0.00001760,20000.0
0.00001761,20000.0
0.00001762,20000.0
0.00001763,20000.0
0.00001800,23841.0
0.00001956,1886.0
0.00001966,962.0
0.00001968,1894.0
0.00001970,1551.0
0.00001974,1600.0
0.00001976,1322.0
0.00001977,1688.0
0.00001978,1474.0
0.00001980,1533.0
0.00001988,1969.0
0.00001992,1850.0
0.00001994,1923.0
0.00002000,1877.0
0.00002018,1765.0
0.00002050,2553.0
0.00002052,1540.0
0.00002053,5178.0
0.00002180,925.0
0.00002455,10000.0
0.00002600,993857.0
0.00003650,12555.0
0.00003800,9881.0
0.00004000,1089916.0
0.00004100,584.0
0.00004111,299.0
0.00004160,468.0
0.00004164,541.0
0.00004166,457.0
0.00004168,854.0
0.00004170,419.0
0.00004177,1299.0
0.00004180,770.0
0.00004187,321.4305125148987
0.00004190,316.0
0.00004200,15219.0
0.00004210,485.0
0.00004225,585.0
0.00004230,315.0
0.00004240,346.0
0.00004250,369.0
0.00004260,385.0
0.00004265,246.0
0.00004268,598.0
0.00004270,615.0
0.00004273,285.0
0.00004275,521.0
0.00004340,400.0
0.00004350,236.0
0.00004360,399.0
0.00004385,300.0
0.00004400,201.0
0.00004415,484.0
0.00004435,170.0
0.00004450,14551.0
0.00004455,134.0
0.00004475,760.0
0.00004500,2304.0
0.00004520,2870.0
0.00004530,5789.0
0.00004550,274.0
0.00004600,175.0
0.00004650,2389.0
0.00004700,441.0
0.00004720,619.0
0.00004730,646.0
0.00004750,2323.0
0.00004800,5251.0
0.00004850,2365.0
0.00004900,5000.0
0.00004913,200.0
0.00004917,100.0
0.00004980,11223.0
0.00004999,32111.0
0.00005000,64143.0
0.00005023,1110.0
0.00005050,123903.0
0.00005070,5000.0
0.00005088,1760.0
0.00005150,201451.0
0.00005180,1321.0
0.00005188,55555.0
0.00005200,150477.0
0.00005248,147.0
0.00005300,100.0
0.00005350,2448.0
0.00005418,2825.0
0.00005480,7708.0
0.00005500,1136.0
0.00005505,1379.0
0.00005532,1305.0
0.00005550,1407.0
0.00005590,1275.0
0.00005656,967.0
0.00005658,899.0
0.00005680,2926.0
0.00005700,637.0
0.00005750,4748.0
0.00005815,1880.0
0.00005850,3087.0
0.00005886,4183.0
0.00005895,2158.0
0.00005900,3661.0
0.00005910,2730.0
0.00005930,1271.0
0.00005950,660.0
0.00005959,18770.0
0.00008720,498.0
0.00010000,100.0
0.00020000,225350.0
