price,amount
0.00800489,0.75
0.00800589,1.227
0.00800689,1.129
0.00800790,1.019
0.00800991,3.764
0.00801091,24.857
0.00801493,0.24
0.00801593,0.27
0.00801638,3.138
0.00801648,0.627
0.00801678,0.75
0.00801849,1.255
0.00801894,0.15
0.00801949,2.51
0.00801995,0.869
0.00802010,0.627
0.00802211,0.6
0.00802231,1.506
0.00802351,5.017
0.00802432,0.75
0.00802492,6.571
0.00802497,28.212
0.00802542,3.135
0.00802597,0.2
0.00802613,0.1
0.00802698,0.133
0.00802743,1.254
0.00802753,1.881
0.00802898,0.209
0.00802999,9.914
0.00803099,0.1
0.00803200,5.534
0.00803497,0.62
0.00803577,6.658
0.00803587,5.0
0.00803889,0.8
0.00804160,1.881
0.00804301,0.47
0.00804304,0.133
0.00804404,1.877
0.00804462,2.534
0.00804472,2.35
0.00804505,0.75
0.00804512,3.0
0.00804532,4.269
0.00804605,3.0
0.00804673,0.147
0.00804894,0.3
0.00805005,5.0
0.00805107,28.5
0.00805207,0.1
0.00805316,0.1
0.00805427,2.35
0.00805537,0.3
0.00805567,2.509
0.00805889,0.3
0.00805910,0.133
0.00806462,2.534
0.00806934,12.326
0.00806944,0.3
0.00807216,0.6
0.00807517,0.133
0.00807819,30.499
0.00808721,1.496
0.00808822,0.267
0.00809123,0.133
0.00809324,3.79
0.00810027,30.0
0.00810428,0.268
0.00810730,0.133
0.00810830,46.5
0.00811031,0.481
0.00811332,0.1
0.00811834,75.15
0.00812035,0.269
0.00812135,0.1
0.00812235,75.0
0.00812336,0.109
0.00812838,0.15
0.00813641,0.27
0.00813842,6.091
0.00813942,0.133
0.00814846,0.15
0.00815147,0.801
0.00815248,0.27
0.00815649,0.133
0.00815850,0.15
0.00816854,0.419
