price,amount
0.00793413,1.5
0.00793333,1.23
0.00793313,5.742
0.00793293,0.133
0.00793214,1.2
0.00793114,1.315
0.00793094,0.195
0.00793084,0.31
0.00793074,0.341
0.00793064,0.1
0.00792816,0.183
0.00792786,1.511
0.00792776,0.1
0.00792756,0.431
0.00792716,0.283
0.00792517,0.228
0.00792507,0.1
0.00792418,0.2
0.00792417,0.1
0.00792408,0.1
0.00792318,8.835
0.00792218,10.558
0.00792118,5.645
0.00792019,1.609
0.00792010,0.326
0.00792000,7.982
0.00791919,7.988
0.00791910,7.961
0.00791870,6.69
0.00791820,0.317
0.00791761,2.508
0.00791731,0.627
0.00791720,5.983
0.00791620,10.141
0.00791522,0.534
0.00791521,1.003
0.00791442,3.715
0.00791432,3.135
0.00791423,0.1
0.00791421,0.1
0.00791363,4.391
0.00791353,0.536
0.00791074,6.839
0.00791025,3.138
0.00791015,4.5
0.00790965,0.627
0.00790923,0.1
0.00790823,0.15
0.00790796,1.072
0.00790686,2.508
0.00790666,6.274
0.00790567,2.51
0.00790525,9.45
0.00790507,5.645
0.00790467,5.0
0.00790425,1.877
0.00790348,0.8
0.00790318,0.25
0.00790027,1.532
0.00789927,0.133
0.00789827,3.9
0.00789429,28.5
0.00788831,0.15
0.00788632,3.0
0.00788433,0.209
0.00788334,0.133
0.00787935,0.15
0.00787836,0.339
0.00786939,1.369
0.00786840,0.283
0.00786441,30.0
0.00786242,3.796
0.00785943,12.037
0.00785843,0.15
0.00785445,0.379
0.00785246,0.133
0.00784847,0.15
0.00783852,0.15
0.00782856,0.15
0.00782656,46.5
0.00782059,0.191
0.00781859,0.149
0.00781262,2.175
0.00780863,0.15
0.00780266,0.1
0.00779868,0.15
0.00779668,0.1
0.00014535,0.01
