price,amount
32.13,2.094
32.14,2.024
32.15,0.999
32.16,11.671
32.17,1.4
32.19,24.514
32.20,25.65
32.21,3.031
32.22,2.5
32.23,1.2
32.24,12.665
32.25,3.386
32.26,4.486
32.27,5.531
32.29,2.25
32.30,3.897
32.31,3.31
32.32,43.192
32.33,12.507
32.35,28.899
32.36,14.188
32.37,34.865
32.38,17.145
32.41,191.318
32.46,1.256
32.48,3.43
32.49,0.512
32.51,33.305
32.52,0.6
32.56,1.715
32.63,1.564
32.68,15.0
32.77,68.603
32.84,0.1
32.85,0.1
32.88,17.79
32.93,10.913
32.94,20.008
32.96,1.528
32.98,0.2
32.99,33.305
33.01,1076.632
33.02,0.2
33.03,1.624
33.04,0.2
33.05,0.1
33.07,0.262
33.08,0.312
33.11,0.2
33.12,0.215
33.13,28.552
33.16,0.1
33.18,0.1
33.20,0.1
33.21,0.2
33.24,225.704
33.33,0.5
33.37,0.393
33.39,0.1
33.40,2.012
33.41,15.981
33.43,19.8
33.46,10.15
