price,amount
31.91,8.704
31.90,1.266
31.89,10.391
31.88,1.755
31.87,6.17
31.86,3.582
31.85,14.433
31.84,9.057
31.83,2.402
31.82,1.058
31.81,7.972
31.80,2.127
31.79,1.886
31.78,15.181
31.77,2.0
31.76,2.5
31.75,15.029
31.74,2.371
31.73,12.5
31.72,1.287
31.71,11.355
31.70,27.081
31.69,11.401
31.68,1.094
31.67,5.843
31.66,0.578
31.63,3.127
31.62,30.868
31.60,6.137
31.59,2.519
31.57,5.6
31.56,3.33
31.55,2.545
31.47,2.194
31.46,7.589
31.45,4.0
31.44,0.2
31.43,1.0
31.42,1.0
31.38,16.237
31.37,73.63
31.35,10.0
31.31,0.77
31.29,1.564
31.28,8.026
31.27,23.0
31.26,2.0
31.25,1.0
31.24,1.0
31.22,16.8
31.20,2.0
31.19,10.174
31.17,4.362
31.15,9.752
31.13,4.0
31.12,50.786
31.11,0.6
31.09,0.2
31.07,0.1
31.05,3.874
31.04,0.122
31.02,5.068
31.00,3.87
30.99,11.839
28.82,1.021
15.72,0.112
0.02,176.0
