price,amount
0.00000018,1282.0
0.00000019,29999.0
0.00000023,7810.0
0.00000024,8892.0
0.00000025,1647.0
0.00000026,696.0
0.00000027,707.0
0.00000032,126.0
0.00000036,79537.0
0.00000042,593.0
0.00000043,1242.0
0.00000045,674.0
0.00000049,1267.0
0.00000057,199.0
0.00000060,12130.0
0.00000099,29327.0
0.00000100,36898.0
0.00000104,14238.0
0.00000105,44296.0
0.00000106,78750.0
0.00000107,42716.0
0.00000110,31900.0
0.00000114,5086.0
0.00000125,2672.8107837514935
0.00000126,187.0
0.00000144,499.0
0.00000171,17266.0
0.00000175,337.0
0.00000180,100.0
0.00000219,119.0
0.00000300,100.0
0.00000432,300.0
0.00000433,800.0
