price,amount
0.00000038,1016.0
0.00000040,6734.0
0.00000041,7229.0
0.00000042,7228.0
0.00000043,3365.0
0.00000051,4805.0
0.00000058,29551.0
0.00000059,758.0
0.00000060,8676.0
0.00000065,276582.0
0.00000067,9885.0
0.00000068,7606.0
0.00000073,31257.0
0.00000082,20332.0
0.00000088,20000.0
0.00000090,10022.0
0.00000110,16998.0
0.00000111,100000.0
0.00000112,200000.0
0.00000116,95121.0
0.00000150,2997.0
0.00000196,20000.0
0.00000197,40000.0
0.00000198,32484.0
0.00000248,10000.0
0.00000250,809.0
0.00000298,25000.0
0.00000299,10000.0
0.00000334,10000.0
0.00000399,50000.0
0.00000400,129130.0
0.00000404,103.0
0.00000421,12118.0
0.00000426,20000.0
0.00000427,24794.0
0.00000428,10000.0
0.00000429,30000.0
0.00000430,63402.0
0.00000435,8970.0
0.00000438,10000.0
0.00000439,10000.0
0.00000440,90000.0
0.00000441,10000.0
0.00000444,10000.0
0.00000445,8000.0
0.00000446,8000.0
0.00000448,10000.0
0.00000450,12697.0
0.00000452,10729.0
0.00000474,10000.0
0.00000475,10000.0
0.00000481,10000.0
0.00000482,10000.0
0.00000483,10000.0
0.00000484,10000.0
0.00000485,10000.0
0.00000486,20000.0
0.00000488,4097.0
0.00000494,10000.0
0.00000495,20000.0
0.00000500,50.0
0.00000510,3330.0
0.00000558,10000.0
0.00000566,10000.0
0.00000668,10000.0
0.00000688,20000.0
0.00000699,30732.0
0.00000768,10000.0
0.00000788,20000.0
0.00000868,10000.0
0.00000888,60000.0
0.00000988,70000.0
0.00001088,110000.0
0.00001122,100000.0
0.00001188,20000.0
0.00001218,30000.0
0.00001388,20000.0
0.00001590,50.0
0.00001618,10000.0
0.00001625,12769.0
0.00001886,10000.0
0.00001888,20000.0
0.00001986,10000.0
0.00001988,10000.0
0.00002118,10000.0
0.00030000,50.0
