price,amount
0.00001488,46093.0
0.00001489,194.0
0.00001608,51277.0
0.00001900,34460.0
0.00002550,68000.0
0.00002564,26110.0
0.00002568,8701.0
0.00002804,4026.0
0.00002805,12077.0
0.00002807,16103.0
0.00002988,6017.0
0.00003130,2479.0
0.00003139,12478.0
0.00003140,5689.0
0.00003150,25466.0
0.00003169,46355.0
0.00003178,22206.0
0.00003179,34182.0
0.00003180,47182.0
0.00003189,53469.0
0.00003200,54011.0
0.00003210,51559.0
0.00003220,52294.0
0.00003221,102472.0
0.00003225,121303.0
0.00003226,64200.0
0.00003240,36080.0
0.00003245,12019.0
0.00003250,114475.0
0.00003266,46184.0
0.00003299,179172.0
0.00003405,117166.0
0.00003500,117228.0
0.00003590,121601.0
0.00003600,119902.0
0.00003617,20000.0
0.00003636,792.0
0.00003999,43429.0
0.00004000,5994.0
0.00004075,50.0
0.00004149,5000.0
0.00004150,4563.0
0.00004188,3000.0
0.00004189,7000.0
0.00004190,3000.0
0.00004199,36417.0
0.00004299,30000.0
0.00004472,5000.0
0.00004473,10000.0
0.00004500,30173.0
0.00004600,15512.0
0.00004800,10000.0
0.00004950,53.0
0.00005000,100.0
0.00005012,13000.0
0.00005200,5000.0
0.00005500,50.0
0.00005833,50.0
0.00006000,32217.0
0.00006128,1000.0
0.00006295,50.0
0.00006660,20000.0
0.00006665,10000.0
0.00006666,85211.0
0.00007899,20000.0
0.00008000,49062.0
0.00008999,10000.0
0.00009000,14331.0
0.00010000,89517.0
0.00020000,20000.0
0.00080000,5378.0
