price,amount
0.00000349,781951.0
0.00000350,1914480.0
0.00000355,4000000.0
0.00000360,857427.0
0.00000367,752712.0
0.00000372,842715.0
0.00000378,1775142.0
0.00000380,263157.0
0.00000381,262467.0
0.00000385,259740.0
0.00000386,518134.0
0.00000388,773195.0
0.00000390,256410.0
0.00000392,306122.0
0.00000394,214543.0
0.00000395,253164.0
0.00000396,252525.0
0.00000399,1253132.0
0.00000400,750000.0
0.00000401,498753.0
0.00000406,985221.0
0.00000407,737100.0
0.00000408,1470588.0
0.00000410,975609.0
0.00000415,2612048.0
0.00000420,2619047.0
