price,amount
0.00000308,0.1720779220779221
0.00000299,28505.0
0.00000296,7399.0
0.00000294,5000.0
0.00000292,10000.0
0.00000280,71428.0
0.00000270,114814.0
0.00000260,9901.0
0.00000258,2324.0
0.00000256,11800.0
0.00000255,18005.0
0.00000251,8184.0
0.00000250,11201.0
0.00000248,1089.0
0.00000245,10000.0
0.00000240,22882.0
0.00000238,100000.0
0.00000235,100000.0
0.00000233,10990.0
0.00000230,50000.0
0.00000225,208199.0
0.00000220,60000.0
0.00000215,38095.0
0.00000213,10000.0
0.00000211,37914.0
0.00000210,47619.0
0.00000201,49751.0
0.00000195,40442.0
0.00000194,103092.0
0.00000193,51813.0
0.00000190,52631.0
0.00000189,264550.0
0.00000186,107526.0
0.00000100,20000000.0
0.00000001,3848.0
