price,amount
0.039999,10791.0
0.040000,2035.0
0.054998,15451.0
0.054999,313.0
0.055000,671.0
0.056000,2699.0
0.070000,63.0
0.071300,249.0
0.072000,1788.0
0.078000,132.0
0.090000,6435.0
0.092000,305.0
0.094000,2037.0
0.138000,500.0
0.138888,888.0
0.140000,100.0
0.143070,7510.0
0.160000,941.0
0.163070,10013.0
0.168888,888.0
0.170000,600.0
0.202225,221.0
0.202229,132.0
0.202233,1332.0
0.202238,2312.0
0.202243,332.0
0.202248,2312.0
0.202254,121.0
0.202259,554.0
0.202262,132.0
0.202268,1221.0
0.202271,554.0
0.500000,7041.0
0.590000,3874.0
10000.000000,100.0
