price,amount
0.00000092,6700.0
0.00000100,1141328.0
0.00000108,6701.0
0.00000109,5122.0
0.00000110,3425.0
0.00000111,4871.0
0.00000112,5324.0
0.00000113,3886.0
0.00000114,6278.0
0.00000115,3991.0
0.00000116,1192.0
0.00000117,1191.0
0.00000118,1054.0
0.00000119,2542.0
0.00000120,612.0
0.00000123,436.0
0.00000124,1849.0
0.00000125,2238.0
0.00000128,347.0
0.00000129,347.0
0.00000139,2500.0
0.00000145,8674.441379310345
0.00000146,37171.0
0.00000147,55000.0
0.00000148,45000.0
0.00000149,41425.0
0.00000150,48000.0
0.00000151,41000.0
0.00000152,59000.0
0.00000153,77000.0
0.00000154,91601.0
0.00000155,20000.0
0.00000164,5600.0
0.00000165,6500.0
0.00000166,8600.0
0.00000167,8800.0
0.00000168,9000.0
0.00000169,8500.0
0.00000170,18478.0
0.00000171,12000.0
0.00000173,5000.0
0.00000174,8000.0
0.00000176,11937.0
0.00000177,7800.0
0.00000178,10500.0
0.00000179,40222.0
0.00000180,11421.0
0.00000181,9250.0
0.00000182,9300.0
0.00000183,4000.0
0.00000184,9500.0
0.00000185,6600.0
0.00000187,6800.0
0.00000188,12000.0
0.00000189,66000.0
0.00000190,3800.0
0.00000191,22000.0
0.00000192,35000.0
0.00000193,4120.0
0.00000194,34000.0
0.00000195,59000.0
0.00000197,78000.0
0.00000198,6300.0
0.00000199,5420.0
0.00000200,47800.0
0.00000201,17500.0
0.00000202,56257.0
0.00000204,36000.0
0.00000206,80000.0
0.00000208,50000.0
0.00000220,60000.0
0.00000362,1250.0
0.00000370,5000.0
0.00000383,4500.0
0.00000393,12000.0
0.00000404,3300.0
0.00000419,5300.0
0.00000435,1700.0
0.00000458,6100.0
0.00000467,4000.0
0.00000472,3800.0
0.00000474,1500.0
0.00000512,3400.0
0.00000558,1800.0
0.00000615,2400.0
0.00000636,2600.0
0.00000778,4800.0
0.00000900,410.0
