price,amount
0.00003832,1100.0
0.00004000,36245.0
0.00004263,50153.0
0.00004400,12000.0
0.00004402,36000.0
0.00004405,15700.0
0.00004427,47400.0
0.00004452,33500.0
0.00004476,26000.0
0.00004478,6600.0
0.00004489,5000.0
0.00004504,38000.0
0.00004506,44700.0
0.00004507,55000.0
0.00004508,45000.0
0.00004509,38000.0
0.00004510,28000.0
0.00004511,77000.0
0.00004513,37000.0
0.00004516,24500.0
0.00004518,2500.0
0.00004524,37000.0
0.00004526,15000.0
0.00004528,17000.0
0.00004530,270.0
0.00004540,300.0
0.00004680,700.0
0.00004790,1200.0
0.00004880,500.0
0.00004920,3700.0
0.00005000,220.0
0.00005600,1100.0
0.00013000,1009.0
