price,amount
0.00002224,20831.0
0.00002223,20840.0
0.00002222,19900.0
0.00002213,1355.0
0.00002104,8443.0
0.00002095,23588.0
0.00002073,96478.0
0.00002063,1068.0
0.00002034,1622.0
0.00001003,3513.0
0.00000962,15385.0
0.00000933,1479.0
0.00000825,704.0
0.00000810,2.0
0.00000808,1.0
0.00000602,367.0
0.00000501,7033.0
0.00000386,269.0
0.00000385,113.0
0.00000341,289.0
0.00000340,555.0
0.00000338,984.0
0.00000297,29043.0
0.00000296,10387.0
0.00000281,317.0
0.00000250,69324.0
0.00000100,348395.0
0.00000050,346625.0
0.00000012,332.0
0.00000001,21787219.0
