price,amount
0.00038128,1.0
0.00038131,3.3997
0.00038152,26.4633
0.00038182,1.0
0.00038206,1.0
0.00038241,33.8688
0.00038242,1.0
0.00038243,38.3958
0.00038249,1.0
0.00038252,183.5057
0.00038352,164.6338
0.00038358,1.0
0.00038452,21.54
0.00038453,725.0767
0.00038478,1.0
0.00038553,126.0026
0.00038559,5.8018
0.00038586,1.0
0.00038711,1.0
0.00038754,137.1413
0.00038827,1.0
0.00038854,34.05
0.00038934,1.0
0.00038955,20.0
0.00038999,1.0
0.00039055,23.2
0.00039111,1.0
0.00039112,14.1
0.00039155,361.282
0.00039158,1.0
0.00039173,1.0
0.00039256,256.1968
0.00039294,1.0
0.00039413,1.0
0.00039457,2.2
0.00039522,1.0
0.00039557,577.0312
0.00039646,1.0
0.00039658,44.7484
0.00039761,1.0
0.00039858,15.0316
0.00039882,1.0
0.00039959,150.9358
0.00039972,1.0
0.00039999,1.0
0.00040018,1.0
0.00040117,1.0
0.00040160,81.8142
0.00040248,1.0
0.00040260,26.661
0.00040360,44.0958
0.00040368,1.0
0.00040384,1.0
0.00040479,1.0
0.00040561,2.0
0.00040608,1.0
0.00040661,4.2
0.00040732,1.0
0.00040762,31.0
0.00040783,1.0
0.00040848,1.0
0.00040970,1.0
0.00041063,2.0
0.00041101,1.0
0.00041163,2.0
0.00041215,1.0
0.00041340,1.0
0.00041465,2.0
0.00041470,1.0
0.00041524,1.0
0.00041565,22.5894
0.00041596,1.0
0.00041718,1.0
0.00041733,1.0
0.00041866,2.0
0.00042067,1.0
0.00042168,2.0
0.00043171,2.0
0.00043473,2.0
0.00044176,17.2714
0.00045179,6.091
0.00045581,2.0
0.00046184,2.0
0.00046384,2.0
0.00046786,65.823
0.00047087,255.4862
0.00047187,2.0
0.00047689,2.0
0.00047790,210.2658
0.00048192,2.0
0.00049195,21.0
0.00049697,2.0
0.00049898,3.248
0.00050200,405.5516
0.00051103,134.0556
0.00051204,79.4936
0.00051806,2.0
0.00051906,2.0
0.00052207,2.0
0.00068545,0.19
