price,amount
0.00037748,47.2882
0.00037659,4.4778
0.00037648,108.362
0.00037617,5.7735
0.00037614,1.0
0.00037549,1083.1063
0.00037537,1.0
0.00037520,1.0
0.00037497,1.0
0.00037449,669.5311
0.00037432,1.0
0.00037390,1.0
0.00037350,350.6054
0.00037277,21.56
0.00037272,1.0
0.00037250,664.6113
0.00037165,1.0
0.00037153,9.12
0.00037150,711.4009
0.00037106,4.023
0.00037051,835.4379
0.00037050,1.0
0.00036991,1.0
0.00036951,2.0
0.00036943,1.0
0.00036852,1.0
0.00036851,4.7026
0.00036827,1.0
0.00036760,21.56
0.00036752,240.6199
0.00036716,1.0
0.00036691,1.0
0.00036652,26.1598
0.00036611,1.0
0.00036553,1.0
0.00036502,1.0
0.00036453,499.2134
0.00036395,1.0
0.00036353,83.6142
0.00036285,1.0
0.00036178,1.0
0.00036064,1.0
0.00036055,2.0
0.00035956,1.0
0.00035955,2.0
0.00035928,1.0
0.00035856,5.0
0.00035854,1.0
0.00035820,5.5611
0.00035743,1.0
0.00035639,1.0
0.00035527,1.0
0.00035423,1.0
0.00035358,50.512
0.00035315,1.0
0.00035260,1.0
0.00035258,2.0
0.00035213,1.0
0.00035158,2.0
0.00035105,1.0
0.00035007,1.0
0.00034959,2.0
0.00034903,1.0
0.00034860,1.0
0.00034859,23.5054
0.00034796,1.0
0.00034760,2.3492
0.00034690,1.0
0.00034589,1.0
0.00034361,6.0
0.00034262,2.0
0.00033963,2.0
0.00033764,2.0
0.00033266,2.2
0.00032967,2.0
0.00032867,2.0
0.00032768,2.4
0.00032270,2.6
0.00031872,2.0
0.00031772,2.8
0.00031274,3.0
0.00030875,2.0
0.00030776,3.2
0.00030278,2.0
0.00029879,22.533
0.00028884,4.056
0.00028585,40.0
0.00026892,2.0
0.00024900,130.1608
0.00024800,8.0
0.00022908,2.0
0.00022409,20.0
0.00021912,2.0
0.00020916,2.0
0.00019920,200.0
0.00012450,30.0
