price,amount
0.013561,2.0
0.013563,5.2067
0.013564,1.721
0.013566,1.2561
0.013569,30.2068
0.013570,1.0
0.013571,2.7
0.013574,1.9789
0.013596,169.425
0.013597,28.3395
0.013600,163.475
0.013602,1.332
0.013611,1.0
0.013621,5.6679
0.013624,3.2505
0.013634,1.0
0.013644,2.0
0.013653,1.0
0.013654,2.0
0.013664,1.0
0.013674,1.0
0.013681,2.0
0.013684,1.0
0.013685,300.0
0.013693,1.0
0.013694,2.0
0.013704,10.3596
0.013711,5.6336
0.013714,2.0
0.013720,2.0
0.013724,2.0
0.013731,14.8533
0.013733,1.0
0.013734,2.0
0.013738,10.264
0.013744,2.0
0.013751,14.8544
0.013754,2.0
0.013764,1.0
0.013768,2.0
0.013774,2.0
0.013778,1.0
0.013784,4.9404
0.013790,4.0
0.013794,1.0
0.013805,2.0
0.013815,2.0
0.013816,1.0
0.013819,1.0
0.013825,2.0
0.013835,1.0
0.013845,1.0
0.013848,1.0
0.013854,5.0
0.013855,1.0
0.013860,1.0
0.013865,1.0
0.013870,150.1
0.013875,1.0
0.013885,2.0
0.013895,1.0
0.013901,1.0
0.013905,2.0
0.013915,1.0
0.013921,7.5038
0.013943,1.0
0.013952,1.0
0.013982,1.0
0.014025,1.0
0.014070,1.0
0.014110,1.0
0.014154,1.0
0.014173,1.0
0.014196,1.0
0.014238,1.0
0.014250,2.0
0.014278,1.0
0.014323,1.0
0.014364,1.0
0.014409,1.0
0.014451,1.0
0.014494,1.0
0.014519,1.0
0.014539,1.0
0.014558,1.0
0.014581,1.0
0.014608,1.0
0.014628,1.0
0.014670,1.0
0.014714,1.0
0.014757,1.0
0.014804,1.0
0.014809,1.0
0.014810,1.0
0.014847,1.0
0.014890,1.0
0.014935,1.0
0.014982,1.0
0.015025,1.0
0.015073,1.0
0.019001,1.9984
0.020000,1.0
