price,amount
0.013526,5.5167
0.013388,3.0
0.013387,1.0
0.013378,1.4748
0.013368,1.332
0.013367,6.7319
0.013352,10.6792
0.013351,11.3296
0.013348,1.0
0.013343,35.4459
0.013338,22.365
0.013337,1.0
0.013336,1.0
0.013326,1.0
0.013322,101.372
0.013321,7.4736
0.013316,1.0
0.013312,16.0446
0.013308,1.0
0.013306,1.0
0.013296,7.1373
0.013294,5.668
0.013286,1.0
0.013276,1.0
0.013268,1.0
0.013266,1.0
0.013264,300.0
0.013256,1.0
0.013250,29.7088
0.013246,1.0
0.013236,1.0
0.013227,3.0
0.013226,1.0
0.013216,1.0
0.013206,9.9153
0.013205,1.0
0.013196,1.0
0.013187,3.0
0.013180,17.375
0.013177,1.0
0.013175,1.0
0.013167,1.0
0.013157,2.0
0.013149,1.0
0.013148,31.5707
0.013147,1.38
0.013137,8.0363
0.013127,1.0
0.013117,1.0
0.013109,1.0
0.013107,1.0
0.013097,1.6988
0.013087,1.0
0.013084,1.0
0.013077,2.0
0.013072,1.0
0.013069,1.0
0.013067,1.0
0.013065,28.3387
0.013060,3.2027
0.013057,1.0
0.013053,1.0
0.013047,13.151
0.013037,1.0
0.013030,1.0
0.013027,1.0
0.013017,1.0
0.012990,1.0
0.012952,1.0
0.012913,1.0
0.012874,1.0
0.012837,1.0
0.012824,1.0
0.012797,1.0
0.012761,1.0
0.012723,1.0
0.012694,3.5753
0.012684,1.0
0.012658,29.6264
0.012644,1.0
0.012607,1.0
0.012574,1.0
0.012572,1.0
0.012535,1.0
0.012495,1.0
0.012459,1.0
0.012450,1.0
0.012421,1.0
0.012384,1.0
0.012346,1.0
0.012332,1.0
0.012308,1.0
0.012271,1.0
0.012237,1.0
0.012201,1.0
0.012164,1.0
0.012128,1.0
0.010000,269.8549
