price,amount
1.5306,1.0
1.5337,3.2246
1.5338,1.0
1.5340,13.3148
1.5351,2.553
1.5353,11.0
1.5356,22.9046
1.5361,10.0
1.5378,2.3399
1.5389,4.16
1.5390,1.0
1.5395,2.3
1.5396,9.0
1.5398,2.0
1.5403,34.4556
1.5404,4.16
1.5409,2.0
1.5410,95.9176
1.5411,95.9176
1.5412,85.9167
1.5413,222.006
1.5417,5.8536
1.5421,4.2149
1.5422,20.4
1.5423,10.0
1.5435,35.1216
1.5442,41.66
1.5443,4.0188
1.5449,345.1497
1.5489,2.0
1.5534,41.66
1.5535,2.0
1.5539,400.0
1.5566,1.0
1.5575,1.0
1.5577,5.4043
1.5585,1.0
1.5589,32.7761
1.5604,2.0
1.5628,1.0
1.5629,1.0
1.5632,3.0
1.5648,1.0
1.5662,135.4253
1.5670,1.7327
1.5678,2.0
1.5700,1.0
1.5710,46.12
1.5722,350.0
1.5727,2.0
1.5763,54.0
1.5771,1.0
1.5793,454.4673
1.5818,2.0
1.5868,2.0
1.5883,160.0
1.5908,2.0
1.5909,3242.4157
1.5916,2.0
1.5963,1.0
1.5980,1.0
1.6008,2.0
1.6016,1.8627
1.6017,1.0
1.6023,2.2722
1.6051,1.0319
1.6059,2.0
1.6070,1.8981
1.6076,270.0
1.6106,2.0
1.6107,2.0
1.6137,4444.5797
1.6152,1.0
1.6159,10.0297
1.6203,2.0
1.6217,2.0
1.6224,1.5
1.6239,23.3841
1.6248,2.0
1.6252,18.6313
1.6286,1.0
1.6294,30.0
1.6300,2.0
1.6347,2.0
1.6399,1.0
1.6446,2.0
1.6465,7.519
1.6496,2.0
1.6538,2.0
1.6544,2.0
1.6596,2.0
1.6644,1.0
1.6654,2.0
1.6694,2.0
1.6744,2.0
1.6796,2.0
1.6846,2.0
1.6867,2.0
1.6894,2.0
1.6948,2.0
1.6997,2.0
1.7050,1.0
6.8300,20.0
6.8500,20.0
6.8600,20.0
6.8700,20.0
6.8800,25.91
