price,amount
1.5193,5.106
1.5191,10.0
1.5190,20.0
1.5189,10.0
1.5154,20.4
1.5148,3.7713
1.5147,1.0
1.5138,7.5206
1.5137,22.9046
1.5131,3.9508
1.5130,7.7484
1.5129,23.5439
1.5126,14.089
1.5097,2.0
1.5096,3.5
1.5092,56.5429
1.5088,3.5
1.5087,10.0
1.5081,4.0
1.5072,1.0
1.5067,65.445
1.5056,4.18
1.5055,2.0
1.5041,141.2639
1.5040,8.3949
1.5039,140.2124
1.5009,131.2329
1.5008,1.0
1.5007,400.0
1.5006,1.0
1.4995,41.68
1.4994,6.32
1.4967,18.3591
1.4965,5.1001
1.4963,2.0
1.4960,3.9944
1.4959,30.0
1.4949,4.0
1.4940,138.234
1.4922,4.0048
1.4920,2.0
1.4898,2.0
1.4892,6.6878
1.4891,32.8601
1.4874,2.0
1.4840,20.1
1.4831,1.0
1.4786,2.0
1.4768,400.0
1.4754,211.9304
1.4752,8.5403
1.4739,2.0
1.4706,2.44
1.4697,2.0
1.4670,41.68
1.4654,2.0
1.4641,32.6609
1.4637,200.0
1.4609,2.0
1.4608,2.0
1.4565,1.0
1.4551,64.4924
1.4541,59.4279
1.4521,2.0
1.4519,200.0
1.4476,2.0
1.4471,220.9183
1.4442,4.3938
1.4441,653.526
1.4435,2.0
1.4390,2.0
1.4351,80.0
1.4348,2.0
1.4343,3.2586
1.4342,5.0
1.4336,2.0
1.4305,2.0
1.4263,2.0
1.4242,37.9066
1.4218,2.0
1.4180,1.0
1.4143,12.9197
1.4135,1.0
1.4121,80.0
1.4094,2.0
1.4051,1.0
1.4043,73.3154
1.4042,2.0
1.4009,2.0
1.3994,95.0
1.3968,2.0
1.3945,5.0
1.3944,2.0
1.3943,558.7881
1.3926,2.0
1.3910,28.9482
1.3883,1.0
1.3746,9.0
1.3744,20.2
0.0002,8166.25
