price,amount
0.00000018,29268.0
0.00000019,13904.0
0.00000020,34852.0
0.00000021,3072.0
0.00000022,51357.0
0.00000023,11371.0
0.00000024,31371.0
0.00000025,55550.0
0.00000026,12278.0
0.00000027,11371.0
0.00000028,53477.0
0.00000029,83325.0
0.00000030,51953.0
0.00000040,104178.0
0.00000041,261985.0
0.00000044,1699538.0
0.00000045,152510.0
0.00000050,267853.0
0.00000051,63.0
0.00000053,500.0
0.00000056,9512.0
0.00000058,329334.0
0.00000061,225.0
0.00000069,168.0
0.00000070,500.0
0.00000074,1000.0
0.00000075,500.0
0.00000097,50000.0
0.00000100,600.0
0.00000143,50000.0
0.00000180,500.0
0.00000385,100000.0
0.00000400,140000.0
0.00000480,500.0
0.00000500,800.0
0.00001300,1000.0
0.00002000,5500.0
0.00002030,500.0
0.00005000,994.0
0.05600000,478.0
