price,amount
0.00000737,99397.0
0.00000740,359743.0
0.00000741,11094.0
0.00000745,446328.0
0.00000747,350145.0
0.00000748,9928.0
0.00000749,90425.0
0.00000750,192697.0
0.00000752,325229.0
0.00000753,432536.0
0.00000754,438741.0
0.00000755,32885.0
0.00000756,44064.0
0.00000757,156859.0
0.00000758,140122.0
0.00000759,407753.0
0.00000761,215123.0
0.00000762,151772.0
0.00000763,9985.0
0.00000765,85317.0
0.00000768,437177.0
0.00000968,96421.0
0.00000989,197601.0
0.00000992,2107736.0
0.00001197,14850.0
0.00001207,191667.0
0.00001268,96983.0
0.00001324,148545.0
0.00001325,153618.0
0.00002000,1429300.0
0.00002666,1741.0
0.00002766,2973.0
0.00002767,3749.0
0.00002768,2672.0
0.00003333,311325.0
0.00004000,8070479.0
0.00004500,500.0
0.00005000,500.0
0.00006666,39114.0
0.00007000,2000.0
0.00008000,500.0
0.00008800,1500.0
0.00009000,500.0
0.00011000,2000.0
0.00012000,500.0
0.00013000,500.0
0.00014000,500.0
0.00015000,500.0
0.00016000,1000.0
0.00019400,500.0
0.00020000,3500.0
0.00022000,500.0
0.00022100,500.0
0.00023000,500.0
0.00025800,500.0
0.00025880,500.0
0.00025888,100.0
0.00030000,1000.0
0.00040000,300000.0
0.00050000,500.0
0.00100000,1000.0
0.00111900,500.0
0.00210000,500.0
0.00500000,500.0
0.09900000,100.0
0.09999999,200.0
0.10000000,1000.0
1.00000000,100.0
10.00000000,100.0
