price,amount
0.00000632,247853.0
0.00000631,416061.0
0.00000630,149337.0
0.00000629,202342.0
0.00000628,299843.0
0.00000627,13340.0
0.00000626,198663.0
0.00000625,23699.0
0.00000525,404499.0
0.00000524,1058.0
0.00000523,7006.0
0.00000522,11856.0
0.00000521,11941.0
0.00000520,13775.0
0.00000519,11631.0
0.00000518,10119.0
0.00000517,10178.0
0.00000516,9493.0
0.00000515,3331.0
0.00000514,13907.0
0.00000513,9867.0
0.00000512,3065.0
0.00000511,3747.0
0.00000510,3206.0
0.00000509,11505.0
0.00000508,11544.0
0.00000507,8212.0
0.00000506,10480.0
0.00000505,9951.0
0.00000504,7704.0
0.00000503,8175.0
0.00000502,9090.0
0.00000501,4273.0
0.00000500,3715.0
0.00000499,11805.0
0.00000498,12178.0
0.00000497,3492.0
0.00000496,13163.0
0.00000495,12184.0
0.00000494,7563.0
0.00000493,4054.0
0.00000492,12883.0
0.00000491,6621.0
0.00000490,12193.0
0.00000489,9936.0
0.00000478,13015.0
0.00000477,4433.0
0.00000476,9006.0
0.00000475,5829.0
0.00000474,11202.0
0.00000473,13783.0
0.00000472,12624.0
0.00000471,6546.0
0.00000470,4555.0
0.00000469,9967.0
0.00000468,13147.0
0.00000467,4205.0
0.00000466,10437.0
0.00000451,15719.0
0.00000047,100.0
0.00000016,3181412.0
0.00000002,124580.0
