price,amount
0.00000007,643149.0
0.00000008,268560.0
0.00000011,653109.0
0.00000012,149591.0
0.00000015,193.0
0.00000021,79921.0
0.00000022,3495.0
0.00000024,2491.0
0.00000026,4748.0
0.00000027,31729.0
0.00000029,325.0
0.00000030,694387.0
0.00000031,1319.0
0.00000039,2000.0
0.00000040,44900.0
0.00000042,70000.0
0.00000043,1000.0
0.00000044,1468.0
0.00000045,1000.0
0.00000046,50000.0
0.00000047,2000.0
0.00000050,3992.0
0.00000068,1000.0
0.00000070,2000.0
0.00000072,1500.0
0.00000100,6097.0
0.00000125,1000.0
0.00000188,1000.0
0.00000222,1000.0
0.00000242,1000.0
0.00000310,136.0
0.00000330,179.0
0.00000400,1000.0
0.00000500,1000.0
0.00000550,1000.0
0.00000587,1000.0
0.00000589,1000.0
0.00000595,1000.0
0.00001000,7000.0
0.00001200,1000.0
0.00001500,2000.0
0.00001887,1000.0
0.00001888,998.0
0.00002000,2000.0
0.00002111,40.0
0.00002115,60.0
0.00002180,1000.0
0.00002300,50.0
0.00002400,9.0
0.00003000,1000.0
0.00005000,1000.0
0.00010000,2000.0
0.00025974,1.0
0.00040000,1000.0
0.31000000,1000.0
