price,amount
0.00000200,99074.0
0.00000202,1023.0
0.00000207,1000.0
0.00000208,4571.0
0.00000209,19288.0
0.00000215,200000.0
0.00000216,100000.0
0.00000217,100000.0
0.00000223,8481615.0
0.00000225,11000.0
0.00000238,368421.0
0.00000239,947368.0
0.00000242,1473683.0
0.00000245,300000.0
0.00000248,220775.0
0.00000250,650125.0
0.00000252,562478.0
0.00000253,100.0
0.00000255,1287.0
0.00000263,7540.0
0.00000277,10350.0
0.00000282,21330.0
0.00000288,10430.0
0.00000294,10600.0
0.00000312,10430.0
0.00000320,7746.0
0.00000333,94919.0
0.00000334,1000000.0
0.00000350,979431.0
0.00000351,1111111.0
0.00000352,1000000.0
0.00000353,333333.0
0.00000354,1000000.0
0.00000355,1111111.0
0.00000356,1333333.0
0.00000357,1111111.0
0.00000358,1111111.0
0.00000359,1111111.0
0.00000360,269877.0
0.00000361,655444.0
0.00000362,1000000.0
0.00000363,1778999.0
0.00000364,1369540.0
0.00000365,1111111.0
0.00000366,888888.0
0.00000367,777777.0
0.00000368,555555.0
0.00000369,550140.0
0.00000375,1888887.0
0.00000380,333320.0
0.00000381,500000.0
0.00000382,200000.0
0.00000390,1763.0
0.00000475,2111.0
0.00000490,100584.0
0.00000500,431750.0
0.00000550,208536.0
0.00000586,498964.0
0.00000600,10000.0
0.00000622,1000.0
0.00000647,1000.0
0.00000650,10000.0
0.00000828,1000.0
0.00000876,3700.0
0.00000921,117300.0
0.00001000,205522.0
0.00001170,50000.0
0.00003270,2097.0
0.00004000,2000.0
0.00005000,2000.0
0.00005020,1000.0
0.00006100,4000.0
0.00006480,1000.0
0.00010000,1001526.0
0.00011504,1000.0
0.00015550,1000.0
0.00020000,2109565.0
0.00061000,1000.0
0.00080000,1000000.0
0.00085000,1000000.0
0.00085170,1000.0
0.00090000,1000000.0
0.00095000,1001000.0
0.00100000,1001000.0
0.00200000,2522.0
0.00250000,1000.0
0.00400000,1000.0
0.01000000,2000.0
0.02000000,100.0
