price,amount
0.00000180,3658.0
0.00000178,248898.0
0.00000177,250305.0
0.00000176,547852.0
0.00000175,652415.0
0.00000170,491973.0
0.00000164,1025415.0
0.00000162,542194.0
0.00000161,727416.0
0.00000160,975950.0
0.00000155,802952.0
0.00000154,852106.0
0.00000153,785410.0
0.00000152,788569.0
0.00000150,652415.0
0.00000142,998458.0
0.00000141,1365259.0
0.00000140,1256236.0
0.00000139,899526.0
0.00000138,1023758.0
0.00000137,1025106.0
0.00000123,905829.0
0.00000122,455517.0
0.00000121,700151.0
0.00000120,376878.0
0.00000118,154125.0
0.00000113,51162.0
0.00000109,687458.0
0.00000081,111.0
0.00000078,1111.0
0.00000077,364.0
0.00000076,1111.0
0.00000075,20000.0
0.00000070,150000.0
0.00000010,138.0
0.00000001,106782.0
