price,amount
0.00000147,2000.0
0.00000148,5324.0
0.00000149,4305.0
0.00000150,305255.0
0.00000158,7590.0
0.00000165,1130.0
0.00000168,25000.0
0.00000178,25000.0
0.00000184,2724.0
0.00000185,5763.0
0.00000188,50000.0
0.00000198,71737.0
0.00000200,86360.0
0.00000207,54500.0
0.00000208,178875.0
0.00000209,75000.0
0.00000211,521738.0
0.00000212,96667.0
0.00000218,50000.0
0.00000225,674074.0
0.00000228,50000.0
0.00000238,50000.0
0.00000245,598629.0
0.00000247,36342.0
0.00000248,50000.0
0.00000249,500000.0
0.00000250,367517.0
0.00000290,21962.0
0.00000298,188025.0
0.00000299,800000.0
0.00000300,1366852.0
0.00000320,615121.0
0.00000343,21963.0
0.00000349,141717.0
0.00000350,1078628.0
0.00000365,12311.0
0.00000370,28019.0
0.00000375,42000.0
0.00000380,184556.0
0.00000400,646297.0
0.00000420,40000.0
0.00000499,250000.0
0.00000500,1459956.0
0.00000503,10000.0
0.00000505,25854.0
0.00000520,19925.0
0.00000550,137838.0
0.00000575,125345.0
0.00000580,25000.0
0.00000600,373559.0
0.00000612,46723.0
0.00000625,39801.0
0.00000650,296341.0
0.00000666,394099.0
0.00000678,614161.0
0.00000699,250000.0
0.00000700,435994.0
0.00000710,46724.0
0.00000746,34613.0
0.00000748,110000.0
0.00000749,250000.0
0.00000750,951276.0
0.00000755,70000.0
0.00000760,61310.0
0.00000789,614162.0
0.00000799,168075.0
0.00000800,3060509.0
0.00000888,399850.0
0.00000900,206863.0
0.00000950,961075.0
0.00000999,567819.0
0.00001000,1637062.0
0.00001200,60000.0
0.00001300,475126.0
0.00001500,10017.0
0.00001600,500000.0
0.00001653,19925.0
0.00002000,105355.0
0.00002300,500000.0
0.00002500,70425.0
0.00003000,570425.0
0.00003880,7256.0
0.00005300,4125.0
0.00009090,3502.0
0.00091700,440.0
0.00114500,441.0
0.00230000,3315.0
0.00249700,3465.0
