price,amount
0.00004795,6467.0
0.00004819,10000.0
0.00004843,12000.0
0.00004867,14000.0
0.00004891,16000.0
0.00004916,18000.0
0.00004940,20000.0
0.00004949,24005.0
0.00005002,37.0
0.00005600,4335.0
0.00005800,3251.0
0.00005895,149748.0
0.00005897,12448.0
0.00005898,43687.0
0.00005900,21000.0
0.00005998,50376.0
0.00006000,24413.0
0.00006580,25925.0
0.00006700,42562.0
0.00006750,6709.0
0.00006870,1700.0
0.00006888,40445.0
0.00006889,179962.0
0.00006999,26656.0
0.00007000,314319.0
0.00007100,116121.0
0.00007101,98765.0
0.00007490,30700.0
0.00007500,114344.0
0.00007898,63610.0
0.00007900,27975.0
0.00007950,102451.0
0.00007970,500000.0
0.00007998,85157.0
0.00007999,116121.0
0.00008000,333188.0
0.00008800,26764.0
0.00008887,11260.0
0.00008940,139925.0
0.00008998,330000.0
0.00008999,500000.0
0.00009000,600000.0
0.00009002,1009687.0
0.00009900,146925.0
0.00009997,20000.0
0.00009999,40000.0
0.00010000,250025.0
0.00010600,600000.0
0.00011420,12398.0
0.00012000,1149532.0
0.00012500,23925.0
0.00013600,2000000.0
0.00014290,1320.0
0.00015000,4172.0
0.00015199,47000.0
0.00015500,97275.0
0.00016660,499962.0
0.00016997,2000000.0
0.00016998,175000.0
0.00017000,111481.0
0.00017006,179962.0
0.00017950,43285.0
0.00018632,175000.0
0.00018680,296107.0
0.00019870,499963.0
0.00019998,200000.0
0.00019999,88278.0
0.00020000,1452426.0
0.00021700,100000.0
0.00024900,250000.0
0.00025000,128886.0
0.00025580,5232.0
0.00026900,200000.0
0.00028019,200000.0
0.00028020,296108.0
0.00028500,100000.0
0.00029000,437461.0
0.00029999,166323.0
0.00030000,560000.0
0.00030980,15539.0
0.00031700,100000.0
0.00031900,100000.0
0.00035000,100000.0
0.00038800,100000.0
0.00040000,15000.0
0.00044000,520.0
0.00048500,15000.0
0.00049500,1653.0
0.00050000,674925.0
0.00069000,121654.0
0.00069900,249925.0
0.00070000,12536.0
0.00080000,31374.0
0.00086500,86660.0
0.00090000,1297108.0
0.00100000,153206.0
0.00440000,2546.0
0.00450000,1210.0
0.00900000,1452.0
0.02000000,10000.0
0.03000000,874.0
0.03270000,440.0
0.04080000,441.0
0.04440000,9820.0
0.08870000,3465.0
0.09500000,3908.0
1.00004000,24975.0
1.00004300,24975.0
1.00004465,19727.0
1.00005000,74925.0
1.00007000,100397.0
