price,amount
0.00004677,2.0
0.00004670,428266.0
0.00004653,4000.0
0.00004630,6000.0
0.00004607,8000.0
0.00004584,10000.0
0.00004561,12000.0
0.00004538,14000.0
0.00004515,16000.0
0.00004493,18000.0
0.00004470,13310.0
0.00004365,811.0
0.00004300,12393.0
0.00004251,28025.0
0.00004250,151842.0
0.00004164,1652.0
0.00004115,47625.0
0.00004104,4280.0
0.00004052,7188.0
0.00004051,21803.0
0.00004030,672.0
0.00004002,38980.0
0.00004000,4689.0
0.00003904,10502.0
0.00003021,29810.0
0.00003016,88560.0
0.00001501,141239.0
0.00001000,300000.0
0.00000200,43730.0
0.00000004,12120923.0
0.00000003,673943.0
0.00000001,9187.0
