price,amount
0.00000024,27129.0
0.00000025,79580.0
0.00000027,19500.0
0.00000028,4075.0
0.00000029,138301.0
0.00000035,159760.0
0.00000038,162416.0
0.00000040,800006.0
0.00000044,1700.0
0.00000046,3000.0
0.00000049,509162.0
0.00000050,170753.0
0.00000056,2000.0
0.00000060,9899.0
0.00000065,99.0
0.00000079,630000.0
0.00000080,100000.0
0.00000099,100000.0
0.00000135,10000.0
0.00000138,10000.0
0.00000139,48834.0
0.00000209,362054.0
0.00000235,172328.0
0.00000300,400000.0
0.00000400,99900.0
0.00000600,5000.0
