price,amount
0.00000900,1502.0
0.00000992,153059.0
0.00000996,153060.0
0.00000999,353892.0
0.00001000,46600.0
0.00001020,118372.0
0.00001220,2641.0
0.00001400,56900.0
0.00001499,99500.0
0.00001566,10000.0
0.00001588,5000.0
0.00001599,20000.0
0.00001601,10000.0
0.00001666,20000.0
0.00001700,100000.0
0.00001777,100000.0
0.00001880,9800.0
0.00002000,104232.0
0.00002100,199500.0
0.00002245,14725.0
0.00002499,11043.0
0.00002500,100000.0
0.00002856,16566.0
0.00003000,100000.0
0.00003256,16566.0
0.00003500,100000.0
0.00003712,30825.0
0.00004000,100000.0
0.00004997,44631.0
0.00008000,75500.0
