price,amount
0.00001220,2704.0
0.00001240,10977.0
0.00001494,108.0
0.00001495,200.0
0.00001500,65.0
0.00001560,78.0
0.00004090,80.0
0.00004400,50.0
0.00004740,189.0
0.00004743,3000.0
0.00005160,50.0
0.00005165,100198.0
0.00005186,41120.0
0.00005200,4555.0
0.00005400,2444.0
0.00005800,21223.0
0.00005900,8787.0
0.00006000,2414.0
0.00006220,622.0
0.00006500,5744.0
0.00006800,547.0
0.00007000,445.0
0.00007500,3614.0
0.19970000,50.0
92.00000000,2.0
