price,amount
0.00203912,0.2
0.00204012,0.36
0.00204113,0.6
0.00204514,16.0
0.00204715,15.19
0.00205016,0.46
0.00205117,2.96
0.00205318,0.48
0.00205518,1.16
0.00205820,0.23
0.00205920,1.06
0.00206020,4.94
0.00206322,1.75
0.00206522,0.1
0.00206723,0.34
0.00206824,4.48
0.00206924,2.42
0.00207125,0.11
0.00207627,0.1
0.00208028,3.38
0.00208530,1.3
0.00208731,0.1
0.00209032,0.24
0.00209334,1.28
0.00209635,0.2
0.00209936,29.4
0.00210036,0.1
0.00210538,0.1
0.00210840,1.96
0.00211141,0.24
0.00211241,0.1
0.00211442,0.1
0.00211643,0.1
0.00211844,0.52
0.00212647,0.2
0.00212747,0.1
0.00212948,0.2
0.00213149,0.1
0.00213350,0.74
0.00213550,0.12
0.00213852,0.46
0.00214253,4.92
0.00214354,0.3
0.00214454,0.1
0.00214554,7.49
0.00214755,0.5
0.00214956,0.38
0.00215056,11.96
0.00215458,0.2
0.00215860,1.35
0.00396129,0.03
0.00500000,0.1
