price,amount
0.00201391,1.23
0.00201291,1.07
0.00201192,0.34
0.00200793,0.43
0.00200694,4.3
0.00200395,1.11
0.00200295,3.82
0.00200196,1.49
0.00199996,0.2
0.00199897,10.02
0.00199797,0.88
0.00199598,1.2
0.00199498,2.02
0.00199399,4.06
0.00199299,25.32
0.00199200,197.3
0.00199100,2.16
0.00199000,1.4
0.00198901,2.5
0.00198801,2.77
0.00198702,0.1
0.00198602,0.1
0.00198502,0.1
0.00198403,5.76
0.00198303,0.2
0.00198204,4.94
0.00198104,0.99
0.00198004,8.46
0.00197805,2.84
0.00197706,0.2
0.00197506,0.2
0.00197307,2.51
0.00197208,11.56
0.00197008,0.2
0.00196909,1.89
0.00196710,2.52
0.00195714,0.4
0.00195415,134.48
0.00195315,0.1
0.00195116,0.2
0.00194917,11.78
0.00194618,2.6
0.00194518,0.1
0.00194220,0.85
0.00193423,0.44
0.00192427,0.82
0.00192327,1.74
0.00191730,0.54
0.00191232,0.5
0.00191032,0.1
0.00190634,2.74
0.00189738,0.5
