price,amount
0.00000001,4793639.0
0.00000002,3641180.0
0.00000003,3286793.0
0.00000004,2442464.0
0.00000005,1217859.0
0.00000006,386395.0
0.00000007,907875.0
0.00000008,4391319.0
0.00000010,200966.0
0.00000013,5628.0
0.00000014,36580.0
0.00000015,12817.0
0.00000016,470874.0
0.00000017,6624.0
0.00000020,1000.0
0.00000021,192585.0
0.00000022,147931.0
0.00000023,43967.0
0.00000029,188608.0
0.00000030,405125.0
0.00000032,117716.0
0.00000034,500800.0
0.00000035,500000.0
0.00000037,111991.0
0.00000038,171600.0
0.00000039,55000.0
0.00000040,443271.0
0.00000041,150000.0
0.00000042,78227.0
0.00000043,15000.0
0.00000044,63000.0
0.00000045,79000.0
0.00000046,80000.0
0.00000047,2194.0
0.00000048,86000.0
0.00000050,300000.0
0.00000051,66862.0
0.00000055,251438.0
0.00000056,4742.0
0.00000075,17118.0
0.00000076,54852.0
0.00000077,1054.0
0.00000078,825353.0
0.00000085,2000.0
0.00000093,8286.0
0.00000095,12600.0
0.00000098,111.0
0.00000100,220771.0
0.00000110,22809.0
0.00000120,175998.0
0.00000124,17360.0
0.00000126,1989.0
0.00000128,20000.0
0.00000132,505.0
0.00000140,319306.0
0.00000144,209400.0
0.00000150,2000.0
0.00000158,30000.0
0.00000188,40000.0
0.00000190,299698.0
0.00000198,50000.0
0.00000230,6820.0
0.00000320,329.0
0.00000340,499950.0
0.00000557,10000.0
0.00000600,100000.0
0.00000990,10000.0
0.00001000,120800.0
0.00001073,228.0
0.00001350,100000.0
0.00010000,5000.0
0.00100000,5000.0
0.01000000,5000.0
