price,amount
0.00000028,580207.0
0.00000029,682552.0
0.00000030,300000.0
0.00000031,575696.0
0.00000032,595255.0
0.00000034,2125125.0
0.00000035,1027751.0
0.00000036,1465304.0
0.00000041,161237.0
0.00000049,341520.0
0.00000065,770813.0
0.00000067,89181.0
0.00000098,1000000.0
0.00000099,1703567.0
0.00000100,519791.0
0.00000116,2845100.0
0.00000119,1190897.0
0.00000120,1481401.0
0.00000131,136925.5572519084
0.00000132,10321.0
0.00000153,30000.0
0.00000154,3318.0
0.00000155,7123.0
0.00000157,7436.0
0.00000170,27678.0
0.00000197,5000.0
0.00000230,8607.255856035477
0.00000271,804.0
0.00000286,804.0
0.00000287,1608.0
0.00000290,1608.0
0.00000293,4549.0
0.00000308,2924.0
0.00000309,1156220.0
0.00000310,189192.0
0.00000319,101633.0
0.00000320,205823.0
0.00000325,192686.0
0.00000340,51091.0
0.00000377,18439.0
0.00000380,186873.0
0.00000399,200000.0
0.00000401,66143.0
0.00000440,297735.0
0.00000495,3529.0
0.00000500,15779.0
0.00000510,2845100.0
0.00000513,53959.0
0.00000514,81919.0
0.00000515,27960.0
0.00000516,27960.0
0.00000517,27960.0
0.00000530,131465.0
0.00000535,120563.0
0.00000538,128914.0
0.00000540,24113.0
0.00000544,75759.0
0.00000545,80000.0
0.00000546,55568.0
0.00000547,70000.0
0.00000548,45000.0
0.00000549,72004.0
0.00000550,66500.0
0.00000551,66600.0
0.00000552,80000.0
0.00000553,55500.0
0.00000554,111000.0
0.00000555,180000.0
0.00000556,110000.0
0.00000557,190000.0
0.00000558,180000.0
0.00000559,160000.0
0.00000566,729.0
0.00000580,712000.0
0.00000590,76446.0
0.00000600,175121.0
0.00000613,42987.0
0.00000615,1592.0
0.00000621,1295.0
0.00000623,4913.0
0.00000625,5201.0
0.00000627,2672.0
0.00000635,11290.0
0.00000636,10000.0
0.00000637,10000.0
0.00000638,10000.0
0.00000639,10000.0
0.00000640,10177.0
0.00000641,10000.0
0.00000642,10000.0
0.00000643,10000.0
0.00000644,10000.0
0.00000645,10000.0
0.00000646,10000.0
0.00000647,10000.0
0.00000648,10000.0
0.00000649,10000.0
0.00000650,10000.0
0.00000651,10000.0
0.00000652,10000.0
0.00000653,10000.0
0.00000654,10000.0
0.00000655,10000.0
0.00000656,10000.0
0.00000657,10000.0
0.00000658,10000.0
0.00000659,10000.0
0.00000660,20000.0
0.00000661,20000.0
0.00000662,20000.0
0.00000663,20000.0
0.00000664,20000.0
0.00000665,20000.0
0.00000666,20000.0
0.00000667,20000.0
0.00000668,20000.0
0.00000669,20000.0
0.00000670,20000.0
0.00000671,20000.0
0.00000672,20000.0
0.00000673,20000.0
0.00000674,20000.0
0.00000675,20000.0
0.00000676,20000.0
0.00000677,20000.0
0.00000678,20000.0
0.00000679,20000.0
0.00000680,20000.0
0.00000681,27431.0
0.00000682,20000.0
0.00000683,20000.0
0.00000684,20000.0
0.00000685,20000.0
0.00000698,246924.0
0.00000788,10000.0
0.00000800,2855319.0
0.00000850,277500.0
0.00000852,289263.0
0.00000900,2000.0
0.00000913,338950.0
0.00000980,396630.0
0.00000990,13987.0
0.00000999,1964.0
0.00001000,988400.0
0.00001030,108660.0
0.00001098,50.0
0.00001100,200000.0
0.00001119,81510.0
0.00001137,225000.0
0.00001150,2000.0
