price,amount
0.00000480,50.0
0.00000482,310.0
0.00000483,938.0
0.00000485,3266.0
0.00000486,577.0
0.00000487,1235.0
0.00000488,748.0
0.00000489,2318.0
0.00000490,100.0
0.00000494,4186.0
0.00000496,1368.0
0.00000498,100.0
0.00000503,100.0
0.00000522,50.0
0.00000523,100.0
0.00000526,50.0
0.00000527,500.0
0.00000532,300.0
0.00000539,1858.0
0.00000545,100.0
0.00000547,1831.0
0.00000549,100.0
0.00000550,100.0
0.00000552,1608.0
0.00000556,50.0
0.00000561,100.0
0.00000567,100.0
0.00000568,100.0
0.00000572,50.0
0.00000575,50.0
0.00000580,90.0
0.00000581,307.0
0.00000582,1035.0
0.00000595,50.0
0.00000596,50.0
0.00000598,50.0
0.00000601,50.0
0.00000602,305.0
0.00000605,50.0
0.00000611,50.0
0.00000614,226.0
0.00000617,100.0
0.00000621,50.0
0.00000622,1000.0
0.00000623,100.0
0.00000626,100.0
0.00000628,50.0
0.00000629,50.0
0.00000635,100.0
0.00000637,198.0
0.00000645,213.0
0.00001000,2.0
0.00001400,2.0
