price,amount
0.00000475,526.0
0.00000474,997.0
0.00000473,632.0
0.00000472,9119.0
0.00000471,1349.0
0.00000470,1746.0
0.00000468,920.0
0.00000466,400.0
0.00000465,4744.0
0.00000462,6823.0
0.00000454,50.0
0.00000453,100.0
0.00000451,6989.0
0.00000448,100.0
0.00000446,18272.0
0.00000445,100.0
0.00000444,50.0
0.00000441,326.0
0.00000434,100.0
0.00000431,100.0
0.00000399,500.0
0.00000378,50.0
0.00000348,2000.0
0.00000318,50.0
0.00000317,50.0
0.00000301,100.0
0.00000299,2000.0
0.00000298,50.0
0.00000229,87.0
0.00000219,50.0
0.00000204,7734.0
0.00000199,100.0
0.00000155,500.0
0.00000119,100.0
0.00000110,50.0
0.00000099,192.0
0.00000088,100.0
0.00000079,100.0
0.00000053,50.0
0.00000045,100.0
0.00000029,50.0
0.00000023,200.0
0.00000020,200.0
0.00000019,90.0
0.00000016,10000.0
0.00000013,780.0
0.00000011,50.0
0.00000010,17514.0
0.00000009,500.0
0.00000007,3429.0
0.00000006,20000.0
0.00000005,6258.0
0.00000004,50.0
