price,amount
0.00000127,422.0
0.00000128,3245.0
0.00000129,1948.0
0.00000134,1949.0
0.00000140,8326.0
0.00000144,107.0
0.00000150,4776.0
0.00000151,101.0
0.00000152,109.0
0.00000153,104.0
0.00000161,106.0
0.00000171,109.0
0.00000173,109.0
0.00000181,214.0
0.00000183,218.0
0.00000184,103.0
0.00000190,212.0
0.00000193,103.0
0.00000197,393.0
0.00000206,109.0
0.00000210,150.0
0.00000224,602.0
0.00000231,104.0
0.00000233,102.0
0.00000239,103.0
0.00000242,104.0
0.00000248,106.0
0.00000249,105.0
0.00000251,1906.0
0.00000252,211.0
0.00000268,110.0
0.00000273,104.0
0.00000274,106.0
0.00000276,104.0
0.00000290,353.0
0.00000300,1249.0
0.00000315,101.0
0.00000339,26.9
0.00000340,18.9
0.00000341,20.0
0.00000343,4.7
0.00000344,13.6
0.00000345,43.0
0.00000348,13.2
0.00000352,15.3
0.00000354,13.6
0.00000366,3.2
0.00000367,15.4
0.00000566,595.0
0.00000578,20.4
0.00000580,18.9
0.00000595,6.7
0.00000600,11.3
0.00000679,69.0
0.00000802,15.0
0.00000804,41.0
0.00000805,12.0
0.00000814,49.0
0.00000821,25.0
0.00000823,10.0
0.00000824,10.0
0.00000825,24.0
0.00000826,28.0
0.00000827,45.0
0.00000828,15.0
0.00000829,41.0
0.00000830,33.0
0.00000831,14.8
0.00000833,18.0
0.00000836,16.0
0.00000837,13.0
0.00000838,15.0
0.00000852,397.7
0.00000854,932.0
0.00000856,711.0
0.00000858,970.0
0.00000859,814.0
0.00000867,941.0
0.00000868,960.0
0.00000869,779.0
0.00000870,636.4
0.00000871,657.0
0.00000873,980.0
0.00000874,808.0
0.00000876,768.0
0.00000877,447.3
0.00000887,918.0
0.00000889,857.0
0.00000893,817.0
0.00000907,71.0
0.00000911,236.0
0.00000914,940.0
0.00000915,61.0
0.00000916,976.0
0.00000917,804.0
0.00000918,756.0
0.00000919,993.0
0.00000920,954.0
0.00000921,692.0
0.00000922,760.0
0.00000923,749.0
0.00000924,873.0
0.00000925,743.0
0.00000926,9.0
0.00000953,41.0
0.00000955,794.0
0.00000957,741.0
0.00000959,902.0
0.00000960,887.0
0.00000962,753.0
0.00000980,996.0
0.00000999,916.0
0.00001194,6.0
0.00001197,9.0
0.00001207,2.0
0.00001210,10.7
0.00001215,6.0
0.00002055,3.0
0.00002087,778.0
0.00002088,780.0
0.00002091,777.0
0.00002092,737.0
0.00002093,899.0
0.00002094,700.0
0.00002279,761.0
0.00002280,783.0
0.00002288,768.0
0.00002289,1.0
0.00002291,522.1
0.00002292,909.0
0.00002293,706.0
0.00002294,818.0
0.00002296,1721.0
0.00002297,782.0
0.00002298,844.0
0.00002299,1619.0
0.00002300,782.0
0.00002301,719.0
0.00002302,852.0
0.00002303,785.0
0.00002305,936.0
0.00002306,964.0
0.00002307,8.0
0.00002308,992.0
0.00002309,717.0
0.00002311,771.0
0.00002312,832.0
0.00002314,794.0
0.00002315,751.0
0.00002317,928.0
