price,amount
0.00000122,405.0
0.00000120,3617.0
0.00000119,3661.0
0.00000118,4943.0
0.00000117,4573.0
0.00000116,7385.0
0.00000115,4080.0
0.00000114,11000.0
0.00000112,2002.0
0.00000111,1001.0
0.00000110,1001.0
0.00000109,1001.0
0.00000108,1001.0
0.00000107,1001.0
0.00000106,1993.0
0.00000105,1001.0
0.00000104,1001.0
0.00000103,1001.0
0.00000102,1001.0
0.00000100,800000.0
0.00000093,110.0
0.00000088,106.0
0.00000087,132.0
0.00000086,110.0
0.00000082,106.0
0.00000076,107.0
0.00000067,106.0
0.00000062,104.0
0.00000052,108.0
0.00000044,6266.0
0.00000032,26262.0
0.00000012,25421.0
0.00000010,4362.0
0.00000002,1415.0
0.00000001,46543.0
