price,amount
0.00000002,70800820.0
0.00000003,17150304.666666668
0.00000004,10065270.0
0.00000005,678972.0
0.00000006,692320.0
0.00000007,349167.0
0.00000008,5012737.0
0.00000009,4328801.0
0.00000010,509155.3333333333
0.00000011,1008888.0
0.00000012,506526.0
0.00000013,9923.0
0.00000014,10531.0
0.00000015,193935.0
0.00000016,369531.0
0.00000018,8888.0
0.00000019,68888.0
0.00000033,24013.0
0.00000048,748888.0
0.00000049,8888.0
0.00000050,91627.0
0.00000058,8888.0
0.00000060,478888.0
0.00000061,408888.0
0.00000088,8888.0
0.00000100,9742.0
0.00000188,8888.0
0.00000200,66060.0
0.00000388,8888.0
0.00000485,806582.0
0.00000588,8888.0
0.00001000,1612498.0
0.00001200,1397.0
0.00001869,2893.0
0.00004700,10725.0
0.00007000,305494.0
0.00008888,8888.0
0.00010000,100.0
0.51600000,10000.0
1.00000000,3557.0
10.00000000,100.0
