price,amount
0.00004534,18.0
0.00004542,137.06
0.00004543,28.63
0.00004549,2.0
0.00004550,197.55
0.00004553,136.23
0.00004554,20.6
0.00004571,38.58
0.00004575,2.98
0.00004597,11.5
0.00004598,47.23
0.00004665,10.0
0.00004766,1.0
0.00004789,2061.97
0.00004819,6.55
0.00004831,6.4
0.00004863,1.0
0.00004883,2.0
0.00004911,1.0
0.00004999,173.55
0.00005009,173.55
0.00005020,34.6
0.00005058,2.0
0.00005078,1.0
0.00005120,152.1
0.00005220,12.47
0.00005225,25.5
0.00005233,2.0
0.00005273,1.0
0.00005301,38.16
0.00005425,1.0
0.00005467,1.0
0.00005511,307.17
0.00005522,42775.74
0.00005557,11.53
0.00005572,64.0
0.00005639,125.01
0.00005661,6.75
0.00005663,1.0
0.00005672,2.25
0.00005823,1.33
0.00005832,2.0
0.00005858,1.0
0.00005923,15.3
0.00005952,15.0
0.00005960,1.59
0.00005973,13.17
0.00006011,5.0
0.00006022,24.95
0.00006024,71.42
0.00012816,1.16
