price,amount
0.00004471,12.23
0.00004469,4.0
0.00004468,12.21
0.00004465,1.0
0.00004450,23.4
0.00004449,11.5
0.00004443,8.5
0.00004442,30.0
0.00004441,85.75
0.00004438,1.0
0.00004420,312.22
0.00004412,102.5
0.00004402,146.35
0.00004401,242.66
0.00004397,11.32
0.00004376,25.0
0.00004375,159.23
0.00004366,114.5
0.00004341,143.5
0.00004337,187.1
0.00004331,41.86
0.00004299,50.0
0.00004293,734.45
0.00004292,2934.95
0.00004244,1.0
0.00004233,744.82
0.00004143,3.65
0.00004131,1.0
0.00004113,71.27
0.00004050,1.0
0.00004013,200.28
0.00003976,9.6
0.00003857,2.0
0.00003852,11.35
0.00003731,10.6
0.00003664,1.0
0.00003476,2.0
0.00003316,1000.0
0.00003286,26.91
0.00003137,250.0
0.00003000,1.62
0.00002988,1.0
0.00002788,25.25
0.00002316,1.0
0.00002191,40.87
0.00001779,50.0
0.00001460,2.0
0.00001195,1.0
0.00000996,5.0
0.00000796,150.75
0.00000697,350.0
0.00000695,1.0
0.00000348,700.0
0.00000298,3.3
0.00000244,10.2
0.00000239,10.0
