price,amount
0.116725,2091.0
0.116950,1913.0
0.117150,3220.702802891764
0.117500,1178.0
0.117994,2048.7
0.117998,1602.0
0.118000,2859.0
0.118650,1784.7
0.119800,1465.0
0.121100,2645.0
0.122300,1121.0
0.123350,3327.0
0.123500,1423.0
0.123700,867.0
0.124000,3124.0
0.124300,5824.0
0.124400,1123.0
0.124600,1546.0
0.125100,8730.9
0.126100,31245.0
0.127700,7546.0
0.128200,13241.0
0.138723,28894.292911773824
0.139236,3827.0
0.139523,2451.0
0.140000,2461.0
0.140231,3662.0
0.141723,38271.0
0.141903,800.0
0.144000,3321.0
0.146000,4136.0
0.148000,2560.0
0.149000,15302.9
0.150000,1560.0
0.151000,11150.5
0.152000,1562.0
0.154000,3514.0
0.155000,1725.0
0.157000,3567.0
0.158000,1368.0
0.158724,48823.1
0.159000,2145.0
0.163000,1223.0
0.164000,1120.2
0.165000,4086.0
0.166000,1286.0
0.167000,5481.5
0.168000,7758.0
0.169000,5815.7
0.173000,2354.0
0.174000,4236.0
0.176000,643.0
0.178000,1745.0
0.179000,6966.4
0.180000,2875.0
0.181000,745.0
0.182000,3756.0
0.183000,2227.0
0.184000,4363.0
0.185000,2904.0
0.186000,2156.0
0.187000,3167.0
0.189000,10371.4
0.190000,41191.7
0.191000,3944.3
0.192000,3862.8
0.193000,1423.0
0.194000,2645.0
0.196000,1344.0
0.197000,537.0
0.198000,232.0
0.199000,5473.0
0.201000,18803.0
0.202000,6417.0
0.203000,6403.0
0.204000,4939.0
0.208000,1788.0
0.209000,3159.0
0.211000,2493.0
0.212000,1409.0
0.213000,1435.0
0.215000,1520.0
0.216000,1774.0
0.217000,790.0
0.218000,5448.0
0.219000,1869.0
0.220000,1830.0
0.221000,3511.0
0.225000,2654.0
0.228000,3675.0
0.229000,3109.0
0.230000,10131.0
0.231000,4231.0
0.232000,2542.0
0.233000,6098.2
0.234000,2437.0
0.235000,2650.0
0.236000,8232.0
0.237000,3157.0
0.238000,8365.0
0.239000,2238.0
0.240000,10665.0
0.241000,1332.0
0.242000,554.0
0.244000,20018.0
0.245000,10000.0
0.246000,6452.0
0.247000,9573.0
0.248000,6543.0
0.249000,25675.0
0.250000,19633.0
0.251000,996.0
0.252000,1526.0
0.254000,13455.125984251968
0.257000,18873.0
0.258000,150034.0
0.262000,11726.0
0.263000,12000.0
0.265000,3155.0
0.266000,1006.0
0.267000,3637.0
0.268000,5315.0
0.269000,1319.0
0.270000,5610.0
0.272000,13562.0
0.274000,1564.0
0.277000,5617.0
0.278000,1368.0
0.279000,15439.0
0.280000,15130.0
0.283000,1563.0
0.284000,1853.0
0.285000,8353.0
0.286000,12000.0
0.291000,8495.0
0.292000,5561.0
0.293000,33975.0
0.294000,5238.0
0.297000,2000.0
0.300000,14798.0
0.302000,1366.0
0.303000,10513.0
0.305000,23565.0
0.306000,6986.0
0.307000,3191.0
0.308000,4256.0
0.309000,1250.0
0.310000,42548.0
0.311000,125361.0
0.312000,10641.0
