price,amount
0.116520,829.0
0.116310,1057.0
0.116239,1859.0
0.116132,1472.0
0.115924,2491.0
0.115820,1038.0
0.115675,2713.0
0.115476,733.0
0.115276,883.0
0.115136,300.0
0.115106,300.0
0.115000,738.6
0.114736,1176.0
0.114362,2165.6
0.114000,1321.0
0.113635,1625.0
0.113000,635.0
0.112635,883.0
0.112132,376.2
0.112108,300.0
0.110437,3451.2
0.110233,3165.0
0.110000,1954.2
0.109523,11232.0
0.109365,7763.0
0.109000,9575.8
0.108000,11448.0
0.107000,7914.7
0.106727,2715.2
0.106000,20766.0
0.104772,8837.0
0.104000,6155.9
0.103280,3615.5
0.103000,15175.0
0.102000,1856.5
0.101000,6546.8
0.100000,100000.0
0.099000,14742.6
0.098000,1668.9
0.096000,20305.9
0.095000,17802.5
0.091000,12517.3
0.089000,14464.5
0.088000,15299.0
0.082000,15577.1
0.081000,25034.7
0.078000,5841.4
0.074000,9179.4
0.073000,15020.8
0.070000,21696.8
0.065000,26425.5
0.064000,25312.9
0.062000,23643.9
0.060000,9355.3
0.057000,12795.5
0.055000,7788.5
0.054000,1668.9
0.053000,9735.7
0.048000,10013.9
0.047000,22531.2
0.046000,10292.0
0.045000,3337.9
0.044000,15855.3
0.041000,8344.9
0.040000,25034.7
0.039000,25312.8
0.034000,13351.8
0.032000,35048.6
0.031000,12517.3
0.030000,26147.4
0.028000,4450.6
0.027000,18915.1
0.026000,15577.1
0.025000,31988.8
0.023000,18915.1
0.019171,139.5
0.019000,15855.3
0.016000,4450.6
0.015000,14464.4
0.013000,11126.5
0.011000,1390.8
0.010000,834.4
0.009000,24200.2
0.008000,30876.1
0.007000,29763.5
0.005000,9735.7
0.004000,27816.3
0.003000,27259.9
0.002000,21140.3
0.000002,827954.0
