price,amount
0.00000442,2447.0
0.00000443,2375.0
0.00000444,36311.5
0.00000445,2047.9
0.00000446,62567.0
0.00000447,2133.0
0.00000448,675.0
0.00000449,1314.0
0.00000450,1131.0
0.00000451,1534.0
0.00000452,3274.0
0.00000453,50000.0
0.00000455,2534.0
0.00000456,15613.0
0.00000458,3726.0
0.00000460,13242.0
0.00000461,20846.0
0.00000462,13540.0
0.00000463,32761.0
0.00000466,14096.0
0.00000467,9760.0
0.00000468,4098.4
0.00000470,15489.0
0.00000472,52437.0
0.00000473,1534.0
0.00000474,2536.0
0.00000475,1534.0
0.00000476,1648.0
0.00000477,674.0
0.00000478,917.0
0.00000480,1931.0
0.00000481,1500.0
0.00000482,9900.0
0.00000483,10000.0
0.00000484,2185.0
0.00000485,9403.1
0.00000486,10000.0
0.00000488,9398.0
0.00000489,1369.0
0.00000491,3691.0
0.00000492,5612.0
0.00000493,1583.0
0.00000494,14318.6
0.00000496,4940.0
0.00000497,13255.0
0.00000498,2162.0
0.00000499,63633.0
0.00000500,13326.0
0.00000501,2768.0
0.00000502,2623.0
0.00000503,2754.0
0.00000504,2648.0
0.00000505,3868.0
0.00000506,1756.0
0.00000507,6345.0
0.00000508,2477.0
0.00000510,10000.0
0.00000511,2547.0
0.00000518,4628.0
0.00000519,1659.0
0.00000520,17434.0
0.00000521,4435.0
0.00000522,1123.0
0.00000523,1123.0
0.00000524,52156.0
0.00000525,1123.0
0.00000526,2116.0
0.00000527,4235.0
0.00000529,8085.0
0.00000530,12976.0
0.00000531,3274.0
0.00000532,45623.1
0.00000534,2327.0
0.00000535,5343.0
0.00000537,1877.0
0.00000540,13180.0
0.00000541,3971.0
0.00000542,12174.0
0.00000543,7173.0
0.00000544,2314.0
0.00000545,58529.0
0.00000546,50000.0
0.00000547,2097.0
0.00000548,554.0
0.00000549,655.0
0.00000550,15360.0
0.00000551,4438.0
0.00000552,1534.0
0.00000553,6438.0
0.00000554,5347.0
0.00000555,3468.0
0.00000557,10000.0
0.00000559,3198.0
0.00000561,3827.0
0.00000564,4918.0
0.00000565,4192.0
0.00000566,5348.0
0.00000567,5345.0
0.00000571,50000.0
0.00000573,5342.0
0.00000574,4862.0
0.00000575,7456.0
0.00000576,3261.0
0.00000577,2204.0
0.00000578,258.3
0.00000580,10000.0
0.00000582,543.0
0.00000583,35263.0
0.00000585,11928.4
0.00000586,6356.0
0.00000589,13019.0
0.00000590,12176.0
0.00000592,12873.0
0.00000593,11028.0
0.00000596,5010.8
0.00000597,58872.0
0.00000598,4202.0
0.00000599,5200.0
0.00000601,12000.0
0.00000602,5092.0
0.00000603,8716.0
0.00000604,86118.0
0.00000605,6287.0
0.00000606,13916.0
0.00000607,5477.0
0.00000608,3168.0
0.00000612,4562.0
0.00000613,8903.0
0.00000614,6174.0
0.00000615,23665.0
0.00000616,1516.0
0.00000617,6617.0
0.00000619,3619.0
0.00000620,5680.0
0.00000621,6981.0
0.00000623,5313.0
0.00000628,10088.0
0.00000629,6779.0
0.00000630,5160.0
0.00000632,1762.0
0.00000633,8983.0
0.00000634,15764.0
0.00000635,8864.0
0.00000636,6977.0
0.00000637,27392.0
0.00000638,6399.0
0.00000639,1392.0
0.00000640,33733.0
0.00000641,2159.0
0.00000643,5427.0
