price,amount
0.00000438,856.0
0.00000437,745.0
0.00000436,385.0
0.00000435,235.0
0.00000433,1231.0
0.00000432,542.0
0.00000431,995.0
0.00000430,621.0
0.00000429,876.0
0.00000428,1554.0
0.00000426,1783.0
0.00000425,2513.0
0.00000423,875.0
0.00000422,1057.0
0.00000420,2039.0
0.00000419,1568.0
0.00000418,1085.0
0.00000417,691.0
0.00000416,1862.0
0.00000415,1152.0
0.00000414,749.0
0.00000413,1783.0
0.00000412,22540.5
0.00000411,2529.8
0.00000410,750.0
0.00000409,509.9
0.00000408,1400.0
0.00000407,1334.0
0.00000406,1407.0
0.00000405,2145.0
0.00000404,1660.0
0.00000403,3112.0
0.00000402,2144.0
0.00000401,4412.0
0.00000400,6039.2
0.00000399,914.0
0.00000398,2116.0
0.00000397,1865.0
0.00000396,1440.0
0.00000395,1865.0
0.00000394,1550.0
0.00000393,1121.0
0.00000392,2212.0
0.00000391,886.0
0.00000390,1131.0
0.00000389,2137.0
0.00000388,1420.0
0.00000386,1111.0
0.00000385,1211.0
0.00000384,1543.0
0.00000383,1217.0
0.00000382,1775.0
0.00000381,1976.0
0.00000380,26041.6
0.00000379,1221.0
0.00000378,3314.0
0.00000377,745.0
0.00000376,11213.0
0.00000375,1425.0
0.00000374,645.0
0.00000372,12445.0
0.00000371,3708.0
0.00000370,50000.0
0.00000364,8848.1
0.00000290,1200.0
0.00000275,1209.0
0.00000247,8474.5
0.00000245,4030.5
0.00000244,3513.8
0.00000243,10024.7
0.00000242,2583.7
0.00000237,7027.6
0.00000236,26250.3
0.00000234,9818.1
0.00000233,2997.0
0.00000232,8681.2
0.00000224,6510.9
0.00000223,3513.8
0.00000221,7647.7
0.00000219,6304.2
0.00000216,19222.7
0.00000211,3823.8
0.00000210,10334.7
0.00000206,9921.4
0.00000205,9714.7
0.00000202,7854.4
0.00000199,9301.2
0.00000196,8371.2
0.00000195,14778.8
0.00000190,7131.0
0.00000184,5374.1
0.00000183,723.4
0.00000181,6304.1
0.00000180,3307.1
0.00000178,4237.2
0.00000177,4133.9
0.00000175,7131.0
0.00000167,8887.8
0.00000165,13745.3
0.00000163,7957.8
0.00000162,4443.9
0.00000161,4030.5
0.00000160,6614.2
0.00000159,413.3
0.00000154,10644.7
0.00000149,9404.7
0.00000144,3307.1
0.00000141,17465.8
0.00000137,13538.6
0.00000136,1446.7
0.00000135,103.3
0.00000134,3513.8
0.00000133,310.0
0.00000128,6304.2
0.00000126,2273.6
0.00000125,10024.8
0.00000124,4960.6
0.00000122,7027.6
0.00000121,23873.3
0.00000120,9611.4
0.00000119,1136.8
0.00000115,1240.1
0.00000109,3617.1
0.00000107,2893.7
0.00000100,2790.4
0.00000011,47947.6
0.00000004,2000001.0
0.00000003,1471.4
0.00000002,1355482.0
0.00000001,4223353.5
