price,amount
2.004000,30.0
2.070000,28.64
2.076000,58.6
2.090000,46.0
2.092200,74.42
2.099000,17.0
2.103957,249.07
2.103958,259.03
2.108257,39.0
2.110000,812.3593380952381
2.130000,1687.8
2.150000,1411.0
2.200000,1955.0
2.227050,32.77
2.250000,150.0
2.300000,3000.0
2.350000,100.0
2.400000,1780.0
2.450000,150.0
2.500000,446.0
2.520000,271.0
2.550000,160.0
2.590000,1110.0
2.600000,200.0
2.650000,300.0
2.700000,200.0
2.750000,300.0
2.800000,500.0
2.850000,300.0
2.900000,600.0
2.950000,800.0
3.000000,1000.0
3.100000,500.0
3.150000,600.0
3.200000,500.0
3.250000,900.0
3.300000,1000.0
3.500000,900.0
3.700000,500.0
3.900000,300.0
4.000000,1904.4
4.100000,300.0
4.300000,400.0
4.500000,1500.0
4.700000,2000.0
4.750000,300.0
4.800000,500.0
22.100000,2027.4
28.257000,71.95
1456.000000,29.85
