price,amount
2.000000,250.0
1.990000,10.0
1.980000,180.0
1.970000,40.0
1.960000,1000.0
1.955000,15.0
1.950000,500.0
1.930000,300.0
1.910000,200.0
1.900000,4500.0
1.890000,500.0
1.870000,500.0
1.850000,2673.0
1.830000,500.0
1.810000,500.0
1.800000,500.0
1.780000,853.0
1.760000,1500.0
1.750000,169.0
1.700000,300.0
1.650000,500.0
1.600000,300.0
1.540000,1440.0
1.496806,115.51
1.494000,143.0
1.493000,123.0
1.492105,511.0
1.470000,3000.0
1.450000,444.89
1.400000,500.0
1.340000,1200.0
1.300000,500.0
1.250000,500.0
1.200000,500.0
1.170000,500.0
1.150000,500.0
1.100000,500.0
1.050000,600.0
1.000000,5000.0
0.900000,1000.0
0.800000,2000.0
0.010000,100000.0
0.001000,1000000.0
0.000005,100000000.0
0.000002,53772.0
