price,amount
0.00000013,90825.0
0.00000014,760528.0
0.00000015,518079.0
0.00000016,150134.0
0.00000017,257635.0
0.00000018,66461.0
0.00000019,404098.0
0.00000020,1035662.0
0.00000021,136465.0
0.00000023,14070.0
0.00000024,7081.0
0.00000025,181110.0
0.00000026,244316.0
0.00000027,151022.0
0.00000028,364666.0
0.00000029,39344.0
0.00000030,145537.0
0.00000031,14055.0
0.00000032,106342.0
0.00000036,5753.0
0.00000038,1619.0
0.00000039,140000.0
0.00000040,21316.0
0.00000041,21863.0
0.00000042,158173.0
0.00000044,3807.0
0.00000045,52554.0
0.00000046,14714.0
0.00000055,53539.0
0.00000056,1000.0
0.00000060,128193.0
0.00000061,23926.0
0.00000062,28508.0
0.00000063,21381.0
0.00000065,77662.0
0.00000096,10548.0
0.00000098,16204.0
0.00000110,506.0
0.00000127,100.0
0.00000129,19050.0
0.00000131,31047.0
0.00000135,39354.0
0.00000140,40290.0
0.00000145,89083.0
0.00000150,52306.0
0.00000160,39230.0
0.00000170,29422.0
0.00000180,5000.0
0.00000230,30696.0
0.00000257,50.0
0.00000276,50.0
0.00000350,313.0
0.00000369,1750.0
0.00000500,100.0
0.00001000,50.0
0.00002300,50100.0
0.00002500,50.0
0.00004600,4000.0
0.00010000,10000.0
0.00020000,10000.0
0.00030000,10000.0
0.00040000,10000.0
0.00060000,10000.0
0.00070000,10000.0
0.00080000,10000.0
0.00090000,10000.0
0.00100000,10000.0
0.00116000,50.0
0.40300000,50.0
