price,amount
0.00000465,89992.0
0.00000466,13095.0
0.00000467,1846.0
0.00000468,83.0
0.00000469,1162.0
0.00000470,331.0
0.00000471,449.0
0.00000472,636.0
0.00000473,1117.0
0.00000474,1523.0
0.00000476,1104.0
0.00000477,1453.0
0.00000478,1391.0
0.00000479,1429.0
0.00000480,543.0
0.00000482,567.0
0.00000486,1008.0
0.00000487,1740.0
0.00000488,728.0
0.00000489,578.0
0.00000491,1191.0
0.00000492,1295.0
0.00000493,1324.0
0.00000494,1297.0
0.00000498,103.0
0.00000499,1897.0
0.00000500,1670.0
0.00000501,1701.0
0.00000502,1622.0
0.00000503,1510.0
0.00000504,1660.0
0.00000505,1838.0
0.00000506,1696.0
0.00000507,1751.0
0.00000508,1294.0
0.00000509,1695.0
0.00000511,640.0
0.00000512,1892.0
0.00000513,1162.0
0.00000515,317.0
0.00000517,1568.0
0.00000518,1661.0
0.00000519,53.0
0.00000521,1224.0
0.00000522,1019.0
0.00000523,600.0
0.00000524,1575.0
0.00000526,483.0
0.00000527,1101.0
0.00000528,253.0
0.00000529,481.0
0.00000530,1658.0
0.00000531,1987.0
0.00000532,1892.0
0.00000533,1690.0
0.00000534,1647.0
0.00000535,1968.0
0.00000536,1584.0
0.00000537,1882.0
0.00000538,577.0
0.00000540,493.0
0.00000541,1840.0
0.00000542,1690.0
0.00000543,1870.0
0.00000544,1616.0
0.00000545,1951.0
0.00000546,1255.0
0.00000548,1783.0
0.00000549,1415.0
0.00000551,409.0
0.00000552,788.0
0.00000553,890.0
0.00000554,390.0
0.00000555,478.0
0.00000556,1785.0
0.00000557,1597.0
0.00000558,2255.0
0.00000559,2107.0
0.00000560,2113.0
0.00000561,6577.0
0.00000562,6891.0
0.00000563,5653.0
0.00000564,5430.0
0.00000565,6253.0
0.00000566,5690.0
0.00000567,6334.0
0.00000568,5760.0
0.00000570,6730.0
0.00000571,6014.0
0.00000572,6669.0
0.00000573,5130.0
0.00000575,83586.0
0.00000579,1707.0
0.00000580,1200.0
0.00000581,2300.0
0.00000702,1918.0
0.00000708,253.0
0.00000709,3754.0
0.00000713,4195.0
0.00000714,5463.0
0.00000715,5433.0
0.00000716,4081.0
0.00000717,5420.0
0.00000718,5752.0
0.00000719,4147.0
0.00000720,3495.0
0.00000721,5586.0
0.00000722,4366.0
0.00000723,5175.0
0.00000724,3924.0
0.00000725,5949.0
0.00000726,5084.0
0.00000727,4029.0
0.00000728,3134.0
0.00000729,4333.0
0.00000730,2379.0
0.00000731,1171.0
0.00000733,5244.0
0.00000734,3221.0
0.00000735,2010.0
0.00000736,1141.0
0.00000737,2544.0
0.00000738,1464.0
0.00000739,2549.0
0.00000744,5181.0
0.00000745,5938.0
0.00000746,5158.0
0.00000747,5307.0
0.00000748,5408.0
0.00000749,3279.0
0.00000750,4037.0
0.00000751,3570.0
0.00000752,4766.0
0.00000753,5733.0
0.00000754,4510.0
0.00000766,4443.0
0.00000767,4821.0
0.00000768,1078.0
0.00000769,2084.0
0.00000770,3797.0
0.00000772,524.0
0.00000773,4661.0
0.00000774,5062.0
0.00000775,2135.0
0.00000776,569.0
0.00000778,794.0
0.00000779,843.0
0.00000780,4114.0
0.00000781,1416.0
0.00000782,43.0
