price,amount
0.00000409,36126.0
0.00000406,5692.0
0.00000405,5714.0
0.00000403,6395.0
0.00000402,5711.0
0.00000401,6721.0
0.00000400,5045.0
0.00000399,6470.0
0.00000398,4659.0
0.00000397,400.0
0.00000395,421.0
0.00000394,858.0
0.00000393,1066.0
0.00000392,862.0
0.00000390,5687.0
0.00000388,5465.0
0.00000387,5009.0
0.00000386,6550.0
0.00000384,6687.0
0.00000383,6442.0
0.00000382,6169.0
0.00000381,6422.0
0.00000380,5111.0
0.00000379,5406.0
0.00000378,1227.0
0.00000376,4300.0
0.00000375,5624.0
0.00000374,1818.0
0.00000373,395.0
0.00000372,6400.0
0.00000371,5459.0
0.00000370,6105.0
0.00000369,6424.0
0.00000368,1920.0
0.00000366,4347.0
0.00000365,6067.0
0.00000364,3900.0
0.00000363,2886.0
0.00000362,1063.0
0.00000361,760.0
0.00000360,793.0
0.00000359,3798.0
0.00000358,231.0
0.00000355,2296.0
0.00000354,2406.0
0.00000353,511.0
0.00000352,944.0
0.00000351,724.0
0.00000350,2346.0
0.00000349,3733.0
0.00000348,4306.0
0.00000347,1669.0
0.00000345,4601.0
0.00000343,5987.0
0.00000342,72.0
0.00000341,28016.0
0.00000340,5144.0
0.00000339,1938.0
0.00000338,2205.0
0.00000336,2790.0
0.00000335,4564.0
0.00000334,4047.0
0.00000333,972.0
0.00000331,2544.0
0.00000330,3020.0
0.00000329,4426.0
0.00000328,1558.0
0.00000327,1797.0
0.00000326,483.0
0.00000325,387.0
0.00000324,4341.0
0.00000323,5130.0
0.00000322,213.0
0.00000321,2216.0
0.00000320,3994.0
0.00000318,2610.0
0.00000317,1410.0
0.00000316,4613.0
0.00000314,3006.0
0.00000313,5184.0
0.00000312,4761.0
0.00000311,4143.0
0.00000310,5357.0
0.00000309,4969.0
0.00000307,6878.0
0.00000306,5988.0
0.00000305,5234.0
0.00000304,3392.0
0.00000302,3520.0
0.00000301,4967.0
0.00000299,5871.0
0.00000298,3898.0
0.00000297,6247.0
0.00000296,4324.0
0.00000295,6727.0
0.00000294,4595.0
0.00000292,5456.0
0.00000290,5024.0
0.00000289,5180.0
0.00000288,4259.0
0.00000287,5011.0
0.00000285,4802.0
0.00000284,6685.0
0.00000282,3643.0
0.00000281,6686.0
0.00000280,6590.0
0.00000278,3035.0
0.00000277,5302.0
0.00000276,5122.0
0.00000274,6768.0
0.00000273,3879.0
0.00000272,6289.0
0.00000271,6455.0
0.00000269,5912.0
0.00000267,5409.0
0.00000266,3961.0
0.00000265,3358.0
0.00000264,6811.0
0.00000262,3041.0
0.00000261,3231.0
0.00000259,6396.0
0.00000258,4665.0
0.00000256,4750.0
0.00000255,3269.0
0.00000254,4674.0
0.00000252,4133.0
0.00000250,3241.0
0.00000248,6428.0
0.00000247,6988.0
0.00000246,5907.0
0.00000245,4144.0
0.00000243,6827.0
0.00000241,6077.0
0.00000238,5334.0
0.00000237,3024.0
0.00000235,6885.0
0.00000233,6909.0
0.00000232,4019.0
0.00000231,6894.0
0.00000230,4164.0
0.00000228,5786.0
0.00000226,6933.0
0.00000225,3383.0
0.00000224,3021.0
0.00000223,4138.0
0.00000221,4133.0
0.00000220,3329.0
0.00000219,6627.0
0.00000217,6721.0
0.00000216,4137.0
